## FlyBase gene genetic interactions report
## Generated: Sat May 29 01:03:13 2021
## Using datasource: dbi:Pg:dbname=fb_2021_03_reporting;host=flysql20;port=5432

##Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type	Publication_FBrf
mGluR	FBgn0019985	Fmr1	FBgn0028734	suppressible	FBrf0204446
Tace	FBgn0039734	bsk	FBgn0000229	suppressible	FBrf0246645
kni	FBgn0001320	rho	FBgn0004635	suppressible	FBrf0155705
robo2	FBgn0002543	sli	FBgn0264089	suppressible	FBrf0132431
hid|rpr	FBgn0003997|FBgn0011706	Diap1	FBgn0260635	suppressible	FBrf0135877
Axn|Rbf	FBgn0026597|FBgn0015799	hid	FBgn0003997	suppressible	FBrf0227016
Mad	FBgn0011648	nmo	FBgn0011817	suppressible	FBrf0201674
DENR	FBgn0030802	eIF2D	FBgn0041588	enhanceable	FBrf0226143
Dd	FBgn0029067	Dad	FBgn0020493	suppressible	FBrf0214664
gish	FBgn0250823	hh	FBgn0004644	suppressible	FBrf0145174
Atf3	FBgn0028550	Jra	FBgn0001291	enhanceable	FBrf0209550
Hrs	FBgn0031450	fz	FBgn0001085	suppressible	FBrf0190944
mbl	FBgn0265487	Dp	FBgn0011763	enhanceable	FBrf0210274
N	FBgn0004647	Ndfip	FBgn0052177	enhanceable	FBrf0214123
csw	FBgn0000382	Mad	FBgn0011648	suppressible	FBrf0190828
Kr	FBgn0001325	Sc2	FBgn0035471	suppressible	FBrf0129693
Pect	FBgn0032482	Miro|Pisd	FBgn0039140|FBgn0026576	suppressible	FBrf0247107
mam	FBgn0002643	wg	FBgn0284084	enhanceable	FBrf0111904
Ras85D|sev	FBgn0003205|FBgn0003366	l(3)06743	FBgn0010901	suppressible	FBrf0105879
Jra	FBgn0001291	pnt	FBgn0003118	suppressible	FBrf0086055
COX5A	FBgn0019624	Prosβ6	FBgn0002284	suppressible	FBrf0210063
Egfr	FBgn0003731	Bap170	FBgn0042085	enhanceable	FBrf0211845
Dcr-2|gw	FBgn0034246|FBgn0051992	Pdf	FBgn0023178	suppressible	FBrf0221252
TpnC41C	FBgn0013348	TpnC4	FBgn0033027	enhanceable	FBrf0235062
ninaE	FBgn0002940	Dark	FBgn0263864	suppressible	FBrf0224179
Rbf	FBgn0015799	Atg1	FBgn0260945	suppressible	FBrf0221645
sev	FBgn0003366	Jra	FBgn0001291	suppressible	FBrf0095439
Fer1HCH	FBgn0015222	Tsf1	FBgn0022355	enhanceable	FBrf0241195
dsh	FBgn0000499	Rac1	FBgn0010333	suppressible	FBrf0192599
btl|stumps	FBgn0285896|FBgn0020299	EP2204	FBgn0083240	suppressible	FBrf0187664
lok	FBgn0019686	CG6961	FBgn0030959	suppressible	FBrf0207160
dpp	FBgn0000490	Su(dpp)39CDE	FBgn0026346	suppressible	FBrf0106994
ft|l(2)gd1	FBgn0001075|FBgn0261983	dpp	FBgn0000490	suppressible	FBrf0098751
ph-p	FBgn0004861	tara	FBgn0040071	suppressible	FBrf0141543
dup	FBgn0000996	mir-8	FBgn0262432	suppressible	FBrf0223187
Dsor1	FBgn0010269	Su(SuRaf1)IV	FBgn0026351	suppressible	FBrf0107534
ey	FBgn0005558	eya	FBgn0000320	enhanceable	FBrf0106322
fz	FBgn0001085	numb	FBgn0002973	enhanceable	FBrf0132423
Dcp-1	FBgn0010501	Atg9	FBgn0034110	suppressible	FBrf0243748
Ilp8	FBgn0036690	tor	FBgn0003733	suppressible	FBrf0230164
Raf	FBgn0003079	SR3-10	FBgn0016731	suppressible	FBrf0087493
Rbf	FBgn0015799	hep	FBgn0010303	suppressible	FBrf0225787
kuz	FBgn0259984	sli	FBgn0264089	enhanceable	FBrf0211121
nos	FBgn0002962	Drice	FBgn0019972	suppressible	FBrf0232646
wntD	FBgn0038134	fz4	FBgn0027342	suppressible	FBrf0216663
gcm	FBgn0014179	mid	FBgn0261963	suppressible	FBrf0220515
Psn	FBgn0284421	vg	FBgn0003975	enhanceable	FBrf0190744
CycE	FBgn0010382	l(1)air7	FBgn0001433	suppressible	FBrf0180291
l(2)gl	FBgn0002121	aPKC	FBgn0261854	suppressible	FBrf0208055
Ppt1	FBgn0030057	sax	FBgn0003317	enhanceable	FBrf0211567
Ras85D|Uba1	FBgn0003205|FBgn0023143	egr	FBgn0033483	suppressible	FBrf0207806
w	FBgn0003996	east	FBgn0261954	suppressible	FBrf0102175
upd1	FBgn0004956	Ten-m	FBgn0004449	enhanceable	FBrf0190752
vvl	FBgn0086680	E(vvl)23	FBgn0025000	enhanceable	FBrf0102795
Pvr	FBgn0032006	CG4266	FBgn0034598	suppressible	FBrf0187664
upd1	FBgn0004956	D	FBgn0000411	suppressible	FBrf0167623
Pgam5	FBgn0023517	shi	FBgn0003392	enhanceable	FBrf0217492
CG42709	FBgn0261674	CycE	FBgn0010382	suppressible	FBrf0152035
L	FBgn0267825	CBP	FBgn0026144	suppressible	FBrf0187660
Pc	FBgn0003042	dome	FBgn0043903	suppressible	FBrf0208982
sd	FBgn0003345	Trl	FBgn0013263	suppressible	FBrf0188188
Act88F	FBgn0000047	Mhc	FBgn0264695	suppressible	FBrf0132372
ct|lncRNA:flam	FBgn0004198|FBgn0267704	aub	FBgn0000146	suppressible	FBrf0233726
unc-5	FBgn0034013	Nrg	FBgn0264975	enhanceable	FBrf0224474
CalpB	FBgn0025866	mys	FBgn0004657	enhanceable	FBrf0219464
Jra|kay	FBgn0001291|FBgn0001297	Fkbp14	FBgn0010470	suppressible	FBrf0207092
danr	FBgn0039283	N	FBgn0004647	suppressible	FBrf0161494
br	FBgn0283451	E(br)187	FBgn0069449	enhanceable	FBrf0167639
elav	FBgn0260400	sli	FBgn0264089	enhanceable	FBrf0193348
nerfin-1	FBgn0028999	slmb	FBgn0283468	enhanceable	FBrf0237496
tadr	FBgn0032911	ninaE	FBgn0002940	suppressible	FBrf0206556
en	FBgn0000577	eRF1	FBgn0036974	suppressible	FBrf0167661
Ras85D	FBgn0003205	osa	FBgn0261885	enhanceable	FBrf0208056
Bx	FBgn0265598	sbb	FBgn0285917	suppressible	FBrf0202749
cav	FBgn0026257	ver	FBgn0262524	enhanceable	FBrf0228516
bam	FBgn0000158	nos	FBgn0002962	suppressible	FBrf0208161
p53	FBgn0039044	Set	FBgn0014879	suppressible	FBrf0217088
MTF-1	FBgn0040305	Ctr1B	FBgn0062412	suppressible	FBrf0187596
ft	FBgn0001075	d	FBgn0262029	suppressible	FBrf0213147
pnr	FBgn0003117	EP443	FBgn0062648	enhanceable	FBrf0147055
dpp	FBgn0000490	dally	FBgn0263930	suppressible	FBrf0099288
Dl|lola|psq	FBgn0000463|FBgn0283521|FBgn0263102	dap	FBgn0010316	suppressible	FBrf0207469
lace	FBgn0002524	Dscam1	FBgn0033159	enhanceable	FBrf0241573
Synd	FBgn0053094	chp	FBgn0267435	enhanceable	FBrf0243204
corto	FBgn0010313	E(z)	FBgn0000629	enhanceable	FBrf0100787
Nsf2	FBgn0266464	Bacc	FBgn0031453	suppressible	FBrf0187645
sog	FBgn0003463	kek5	FBgn0031016	suppressible	FBrf0207272
Nab2	FBgn0028471	Pabp2	FBgn0005648	enhanceable	FBrf0214553
Pcl	FBgn0003044	esc	FBgn0000588	suppressible	FBrf0055569
Rho1	FBgn0014020	Rab5	FBgn0014010	suppressible	FBrf0208183
csw	FBgn0000382	Src64B	FBgn0262733	enhanceable	FBrf0129810
CycE	FBgn0010382	Ras85D	FBgn0003205	enhanceable	FBrf0180291
mir-9a	FBgn0262373	sens	FBgn0002573	suppressible	FBrf0193418
kay	FBgn0001297	pigeon	FBgn0010309	enhanceable	FBrf0207092
sc	FBgn0004170	smt3	FBgn0264922	enhanceable	FBrf0218761
peb	FBgn0003053	tutl	FBgn0010473	suppressible	FBrf0180294
PGRP-LF	FBgn0035977	Tak1	FBgn0026323	suppressible	FBrf0204914
hid	FBgn0003997	hpo	FBgn0261456	suppressible	FBrf0167603
AP-2α	FBgn0264855	step	FBgn0086779	enhanceable	FBrf0223233
btl::tor	FBgn0014948	vap	FBgn0003969	suppressible	FBrf0106478
Rab5	FBgn0014010	Dronc	FBgn0026404	suppressible	FBrf0226083
E(z)	FBgn0000629	Sirt1	FBgn0024291	enhanceable	FBrf0180067
brk	FBgn0024250	tkv	FBgn0003716	suppressible	FBrf0135728
Ras85D|sev	FBgn0003205|FBgn0003366	l(3)06948a|sr	FBgn0026216|FBgn0003499	suppressible	FBrf0105879
Marcal1	FBgn0031655	Pcl	FBgn0003044	suppressible	FBrf0234417
brwl	FBgn0032130	stwl	FBgn0003459	suppressible	FBrf0239055
scrib	FBgn0263289	hep	FBgn0010303	suppressible	FBrf0227898
N	FBgn0004647	anon-XVI	FBgn0019848	enhanceable	FBrf0090844
cta	FBgn0000384	Gprk2	FBgn0261988	suppressible	FBrf0222904
Tsc1|gig	FBgn0026317|FBgn0005198	Atg18a	FBgn0035850	suppressible	FBrf0218812
Txl	FBgn0035631	ple	FBgn0005626	suppressible	FBrf0237791
ed	FBgn0000547	Egfr	FBgn0003731	suppressible	FBrf0167516
Bx	FBgn0265598	Kr	FBgn0001325	enhanceable	FBrf0211594
l(2)gl|vg	FBgn0002121|FBgn0003975	yki	FBgn0034970	suppressible	FBrf0221886
ptc	FBgn0003892	Usp8	FBgn0038862	enhanceable	FBrf0218247
wg	FBgn0284084	jing	FBgn0086655	suppressible	FBrf0203146
hid	FBgn0003997	Dronc	FBgn0026404	suppressible	FBrf0190910
rpr	FBgn0011706	SM3-2	FBgn0041618	suppressible	FBrf0127348
ru	FBgn0003295	rho	FBgn0004635	suppressible	FBrf0179216
TBPH	FBgn0025790	HnRNP-K	FBgn0267791	enhanceable	FBrf0236460
Lon	FBgn0036892	ClpP	FBgn0032229	suppressible	FBrf0240421
Liprin-β	FBgn0036376	Liprin-α	FBgn0046704	enhanceable	FBrf0212351
tws	FBgn0004889	spn-A	FBgn0003479	suppressible	FBrf0235005
Pi3K92E	FBgn0015279	Sesn	FBgn0034897	suppressible	FBrf0210161
Chi	FBgn0013764	CG11893	FBgn0039316	enhanceable	FBrf0211594
dome	FBgn0043903	Su(var)2-10	FBgn0003612	suppressible	FBrf0151938
Ras85D	FBgn0003205	EY3-2	FBgn0040329	suppressible	FBrf0125429
ey	FBgn0005558	so	FBgn0003460	enhanceable	FBrf0133296
nej	FBgn0261617	l(3)L3659	FBgn0024547	suppressible	FBrf0190701
Bx	FBgn0265598	fng	FBgn0011591	suppressible	FBrf0155715
p53	FBgn0039044	Daxx	FBgn0031820	enhanceable	FBrf0202871
dsh	FBgn0000499	pk	FBgn0003090	enhanceable	FBrf0111378
Sos|sev	FBgn0001965|FBgn0003366	Egfr	FBgn0003731	enhanceable	FBrf0108171
ct|mod(mdg4)	FBgn0004198|FBgn0002781	su(Hw)	FBgn0003567	enhanceable	FBrf0222817
htl::tor	FBgn0014854	vap	FBgn0003969	suppressible	FBrf0106478
mbc	FBgn0015513	Rac1	FBgn0010333	suppressible	FBrf0213340
para	FBgn0285944	pum	FBgn0003165	suppressible	FBrf0234659
pins	FBgn0040080	insc	FBgn0011674	enhanceable	FBrf0155600
yki	FBgn0034970	RtGEF	FBgn0015803	enhanceable	FBrf0227228
Kr	FBgn0001325	Stip1	FBgn0024352	enhanceable	FBrf0212873
rux	FBgn0003302	S(rux)2C	FBgn0019933	suppressible	FBrf0091048
CaMKII	FBgn0264607	CASK	FBgn0013759	suppressible	FBrf0222832
Ero1L	FBgn0261274	cnc	FBgn0262975	suppressible	FBrf0228364
mbf1	FBgn0262732	apt	FBgn0015903	enhanceable	FBrf0155720
Egfr	FBgn0003731	Dsor1	FBgn0010269	suppressible	FBrf0093573
sNPF-R	FBgn0036934	Gαs	FBgn0001123	suppressible	FBrf0219162
su(Hw)|w|z	FBgn0003567|FBgn0003996|FBgn0004050	Taf9	FBgn0000617	enhanceable	FBrf0108279
Myc	FBgn0262656	shg	FBgn0003391	suppressible	FBrf0229443
hpo	FBgn0261456	RtGEF	FBgn0015803	enhanceable	FBrf0227228
Src42A	FBgn0264959	Su(tor)2-164-14	FBgn0026341	suppressible	FBrf0107534
pbl	FBgn0003041	Rok	FBgn0026181	suppressible	FBrf0158812
Nsf2	FBgn0266464	brat	FBgn0010300	suppressible	FBrf0187645
msl-1	FBgn0005617	msl-2	FBgn0005616	enhanceable	FBrf0123194
Dcp-1	FBgn0010501	SNF4Aγ	FBgn0264357	suppressible	FBrf0209948
Ras85D	FBgn0003205	SR3-10	FBgn0016731	suppressible	FBrf0087493
obk	FBgn0024208	Hsp83	FBgn0001233	suppressible	FBrf0178980
Su(var)205	FBgn0003607	fzy	FBgn0001086	suppressible	FBrf0224436
CASK	FBgn0013759	CaMKII	FBgn0264607	suppressible	FBrf0221153
robo1	FBgn0005631	sli	FBgn0264089	suppressible	FBrf0234009
tkv	FBgn0003716	dpp	FBgn0000490	suppressible	FBrf0092741
Ptp52F	FBgn0034085	Lar	FBgn0000464	suppressible	FBrf0139642
Scr	FBgn0003339	Dsp1	FBgn0278608	enhanceable	FBrf0132331
RhoGAP92B	FBgn0038747	Dad	FBgn0020493	suppressible	FBrf0212218
DnaJ-1	FBgn0263106	Hsc70Cb	FBgn0026418	suppressible	FBrf0222892
Dg	FBgn0034072	Pdp	FBgn0029958	suppressible	FBrf0207771
Nf-YA	FBgn0035993	ey	FBgn0005558	enhanceable	FBrf0192776
H	FBgn0001169	Rok	FBgn0026181	suppressible	FBrf0190751
L	FBgn0267825	N	FBgn0004647	enhanceable	FBrf0151277
btl::Egfr	FBgn0022739	Tao	FBgn0031030	suppressible	FBrf0187664
sty|aos	FBgn0014388|FBgn0004569	rho-5	FBgn0041723	enhanceable	FBrf0213387
rhi	FBgn0004400	lok	FBgn0019686	suppressible	FBrf0208800
Pex13	FBgn0033812	Sc2	FBgn0035471	enhanceable	FBrf0209624
Cdk1	FBgn0004106	Cks30A	FBgn0010314	enhanceable	FBrf0187485
Ssdp	FBgn0011481	Gαs	FBgn0001123	suppressible	FBrf0211594
tal	FBgn0087003	N	FBgn0004647	suppressible	FBrf0213970
park	FBgn0041100	ATPsynβ	FBgn0010217	enhanceable	FBrf0217543
dpy	FBgn0053196	e(dpy<up>v</up>)	FBgn0000553	enhanceable	unattributed
Pc	FBgn0003042	skd	FBgn0003415	suppressible	FBrf0048952
bam	FBgn0000158	CSN4	FBgn0027054	suppressible	FBrf0226469
tkv	FBgn0003716	vg	FBgn0003975	suppressible	FBrf0144813
tefu	FBgn0045035	nbs	FBgn0261530	suppressible	FBrf0194327
shi	FBgn0003392	Pu	FBgn0003162	enhanceable	FBrf0200509
Caf1-105	FBgn0033526	H	FBgn0001169	suppressible	FBrf0222414
N	FBgn0004647	cno	FBgn0259212	suppressible	FBrf0080258
Dsor1	FBgn0010269	Su(phl)43B	FBgn0014886	suppressible	FBrf0073777
Debcl	FBgn0029131	Prosα2	FBgn0086134	enhanceable	FBrf0226227
kibra	FBgn0262127	CycE|Diap1	FBgn0010382|FBgn0260635	suppressible	FBrf0211373
Wnt5	FBgn0010194	dsh	FBgn0000499	enhanceable	FBrf0192599
S6kII	FBgn0262866	rl	FBgn0003256	suppressible	FBrf0206691
Septin4	FBgn0259923	park	FBgn0041100	enhanceable	FBrf0200746
cindr	FBgn0027598	ari-1	FBgn0017418	suppressible	FBrf0237191
Pvr	FBgn0032006	Crk	FBgn0024811	enhanceable	FBrf0180198
tna	FBgn0026160	osa	FBgn0261885	enhanceable	FBrf0155711
rg	FBgn0266098	H	FBgn0001169	suppressible	FBrf0149022
upd1	FBgn0004956	hh	FBgn0004644	suppressible	FBrf0167623
Dp|E2f1	FBgn0011763|FBgn0011766	ksh-19	FBgn0028628	enhanceable	FBrf0111491
bib	FBgn0000180	N	FBgn0004647	suppressible	FBrf0064583
S2P	FBgn0033656	Dronc	FBgn0026404	suppressible	FBrf0207690
sisA	FBgn0003411	dpn	FBgn0010109	suppressible	FBrf0084726
rg	FBgn0266098	Egfr	FBgn0003731	suppressible	FBrf0149022
w	FBgn0003996	Pcf11	FBgn0264962	suppressible	FBrf0104493
osk	FBgn0003015	Su(osk)G28	FBgn0020896	suppressible	FBrf0090859
Rbf|gig	FBgn0015799|FBgn0005198	S6k	FBgn0283472	suppressible	FBrf0211700
Cdk4	FBgn0016131	Rbf	FBgn0015799	suppressible	FBrf0129969
fz2	FBgn0016797	wg	FBgn0284084	enhanceable	FBrf0129975
C3G	FBgn0259228	Ras85D	FBgn0003205	suppressible	FBrf0106038
tai|yki	FBgn0041092|FBgn0034970	sd	FBgn0003345	suppressible	FBrf0229945
yki	FBgn0034970	ImpL2	FBgn0001257	suppressible	FBrf0228030
nej	FBgn0261617	Nrg	FBgn0264975	suppressible	FBrf0226051
Pi3K92E|btl::Egfr	FBgn0015279|FBgn0022739	Ras85D	FBgn0003205	suppressible	FBrf0206710
pnr	FBgn0003117	l(2)k10113	FBgn0021961	enhanceable	FBrf0147055
hep	FBgn0010303	Sox21a	FBgn0036411	suppressible	FBrf0230114
Ldh	FBgn0001258	L2HGDH	FBgn0032729	suppressible	FBrf0234785
ro	FBgn0003267	ato	FBgn0010433	suppressible	FBrf0131272
tsh	FBgn0003866	brk	FBgn0024250	enhanceable	FBrf0151325
Drice	FBgn0019972	Dcp-1	FBgn0010501	enhanceable	FBrf0192459
dco	FBgn0002413	fz	FBgn0001085	enhanceable	FBrf0191849
N	FBgn0004647	Xxylt	FBgn0034959	suppressible	FBrf0240387
danr	FBgn0039283	CtBP|dan	FBgn0020496|FBgn0039286	enhanceable	FBrf0211770
sens	FBgn0002573	S(ls)7	FBgn0086205	suppressible	FBrf0194654
Vang	FBgn0015838	fz	FBgn0001085	enhanceable	FBrf0104520
Cip4	FBgn0035533	Cdc42	FBgn0010341	enhanceable	FBrf0211075
Fmr1	FBgn0028734	SmD3	FBgn0023167	suppressible	FBrf0208636
hh	FBgn0004644	Su(hh)I	FBgn0043566	suppressible	FBrf0131307
Fmr1	FBgn0028734	Rac1	FBgn0010333	enhanceable	FBrf0160918
ftz	FBgn0001077	E(ftz)2955	FBgn0082683	enhanceable	FBrf0180288
hiw	FBgn0030600	Atg1	FBgn0260945	enhanceable	FBrf0208921
path	FBgn0036007	S6k	FBgn0283472	suppressible	FBrf0228679
bchs	FBgn0043362	lwr	FBgn0010602	enhanceable	FBrf0201586
tup	FBgn0003896	ap	FBgn0267978	suppressible	FBrf0190092
fz	FBgn0001085	ATP6AP2	FBgn0037671	enhanceable	FBrf0211335
Bsg25D	FBgn0000228	ens	FBgn0264693	suppressible	FBrf0241414
rl	FBgn0003256	ed	FBgn0000547	enhanceable	FBrf0134572
arm	FBgn0000117	sdt	FBgn0261873	enhanceable	FBrf0123026
rl	FBgn0003256	msk	FBgn0026252	enhanceable	FBrf0134569
arm	FBgn0000117	ovo	FBgn0003028	suppressible	FBrf0110515
Nsf2	FBgn0266464	Polr1D	FBgn0086447	suppressible	FBrf0187645
Ced-12	FBgn0032409	Sos	FBgn0001965	suppressible	FBrf0226093
raw	FBgn0003209	Tak1	FBgn0026323	suppressible	FBrf0217104
Vps35	FBgn0034708	Mad	FBgn0011648	suppressible	FBrf0202367
if	FBgn0001250	RpL19	FBgn0285950	enhanceable	FBrf0068519
dom	FBgn0020306	Nipped-A	FBgn0053554	enhanceable	FBrf0221645
Ldh	FBgn0001258	Gpdh1	FBgn0001128	enhanceable	FBrf0243434
Src64B	FBgn0262733	Egfr	FBgn0003731	suppressible	FBrf0225525
scrib	FBgn0263289	Uev1A	FBgn0035601	suppressible	FBrf0221969
N	FBgn0004647	Rab6	FBgn0015797	enhanceable	FBrf0090844
ct|mod(mdg4)	FBgn0004198|FBgn0002781	Cp190	FBgn0000283	enhanceable	FBrf0222817
hay	FBgn0001179	Tfb5	FBgn0265968	suppressible	FBrf0206304
spn-B	FBgn0003480	mei-W68	FBgn0002716	suppressible	FBrf0111879
Snr1	FBgn0011715	gpp	FBgn0264495	suppressible	FBrf0174517
spn-A	FBgn0003479	Lnk	FBgn0028717	suppressible	FBrf0218097
norpA	FBgn0262738	cry	FBgn0025680	enhanceable	FBrf0128455
schmalspur	FBgn0026165	pnt	FBgn0003118	enhanceable	FBrf0106675
Dad	FBgn0020493	Cln7	FBgn0035767	suppressible	FBrf0243919
InR	FBgn0283499	Tsc1|gig	FBgn0026317|FBgn0005198	suppressible	FBrf0135685
Spc105R	FBgn0037025	sub	FBgn0003545	enhanceable	FBrf0229919
red	FBgn0285913	kar	FBgn0001296	enhanceable	FBrf0033152
Rfx2	FBgn0082304	Diap2	FBgn0015247	suppressible	FBrf0180598
bchs	FBgn0043362	Gga	FBgn0030141	enhanceable	FBrf0216574
pim	FBgn0003087	dup	FBgn0000996	suppressible	FBrf0184073
Sarm	FBgn0262579	Myd88	FBgn0033402	enhanceable	FBrf0235455
miple1	FBgn0027111	Egfr	FBgn0003731	suppressible	FBrf0221349
dom	FBgn0020306	ERR	FBgn0035849	enhanceable	FBrf0230159
Ist1|Vps60	FBgn0035715|FBgn0036740	shrb	FBgn0086656	suppressible	FBrf0243352
Mical	FBgn0053208	Rheb	FBgn0041191	enhanceable	FBrf0222810
sev	FBgn0003366	Dab	FBgn0000414	enhanceable	FBrf0103310
qsm	FBgn0028622	NKCC	FBgn0051547	suppressible	FBrf0234144
per	FBgn0003068	dco	FBgn0002413	suppressible	FBrf0138449
peb	FBgn0003053	Rho1	FBgn0014020	suppressible	FBrf0180294
ro	FBgn0003267	E(ro<up>DOM</up>)1777	FBgn0043596	enhanceable	FBrf0131272
arm	FBgn0000117	tws	FBgn0004889	enhanceable	FBrf0123026
H	FBgn0001169	gro	FBgn0001139	enhanceable	FBrf0151327
svp	FBgn0003651	Egfr	FBgn0003731	enhanceable	FBrf0078827
svp	FBgn0003651	Ras85D	FBgn0003205	enhanceable	FBrf0076133
Dref	FBgn0015664	dome	FBgn0043903	enhanceable	FBrf0207590
Ras85D|scrib	FBgn0003205|FBgn0263289	Timp	FBgn0025879	suppressible	FBrf0194142
dsh	FBgn0000499	bsk	FBgn0000229	suppressible	FBrf0093742
Dronc	FBgn0026404	Diap1	FBgn0260635	suppressible	FBrf0132365
Hsp83	FBgn0001233	Rca1	FBgn0017551	suppressible	FBrf0222899
MYPT-75D	FBgn0036801	zip	FBgn0287873	suppressible	FBrf0180501
Smox	FBgn0025800	lectin-28C	FBgn0040099	enhanceable	FBrf0235445
ATP8B	FBgn0037989	Or67d	FBgn0036080	suppressible	FBrf0225300
S	FBgn0003310	stan	FBgn0024836	enhanceable	FBrf0167499
Sirt2	FBgn0038788	HDAC6	FBgn0026428	enhanceable	FBrf0246316
Fsn	FBgn0043010	wnd	FBgn0036896	suppressible	FBrf0205388
rdgA	FBgn0261549	Nmnat	FBgn0039254	suppressible	FBrf0192124
ebi	FBgn0263933	hep	FBgn0010303	suppressible	FBrf0218464
Hs3st-B	FBgn0031005	dx	FBgn0000524	enhanceable	FBrf0199183
ci	FBgn0004859	dpp	FBgn0000490	suppressible	FBrf0230033
vap	FBgn0003969	Appl	FBgn0000108	suppressible	FBrf0217742
ec	FBgn0000542	spi	FBgn0005672	suppressible	FBrf0202297
sog|tsg	FBgn0003463|FBgn0003865	tld	FBgn0003719	suppressible	FBrf0162076
tRNA:iMet-CAT-1-3	FBgn0052482	InR	FBgn0283499	suppressible	FBrf0217359
sc	FBgn0004170	mod(mdg4)	FBgn0002781	enhanceable	FBrf0160557
abd-A	FBgn0000014	su(Hw)	FBgn0003567	enhanceable	FBrf0051550
smi27E	FBgn0016928	Pino	FBgn0016926	enhanceable	FBrf0102310
Prosβ2	FBgn0023174	H	FBgn0001169	enhanceable	FBrf0111484
mei-41	FBgn0004367	tws	FBgn0004889	enhanceable	FBrf0235005
FER	FBgn0000723	puc	FBgn0243512	suppressible	FBrf0192631
w	FBgn0003996	Pc	FBgn0003042	suppressible	FBrf0190550
PlexB	FBgn0025740	Rac1	FBgn0010333	suppressible	FBrf0139777
Pi3K92E	FBgn0015279	srl	FBgn0037248	suppressible	FBrf0209639
fy	FBgn0001084	stan	FBgn0024836	enhanceable	FBrf0147064
sky	FBgn0032901	TSG101	FBgn0036666	suppressible	FBrf0213384
pins	FBgn0040080	βTub60D	FBgn0003888	suppressible	FBrf0231608
aos	FBgn0004569	SM3-2	FBgn0041618	suppressible	FBrf0127348
Cbl	FBgn0020224	hyd	FBgn0002431	enhanceable	FBrf0130045
jus	FBgn0039647	para	FBgn0285944	suppressible	FBrf0202966
tup	FBgn0003896	vvl	FBgn0086680	enhanceable	FBrf0180170
nmo	FBgn0011817	H	FBgn0001169	suppressible	FBrf0134745
Clk	FBgn0023076	cyc	FBgn0023094	suppressible	FBrf0204901
pnr	FBgn0003117	mid	FBgn0261963	suppressible	FBrf0208577
Ras85D|sev	FBgn0003205|FBgn0003366	mam	FBgn0002643	suppressible	FBrf0105879
LIMK1	FBgn0283712	Rok	FBgn0026181	suppressible	FBrf0174477
sens	FBgn0002573	hid	FBgn0003997	suppressible	FBrf0162078
ap	FBgn0267978	ap::Bx	FBgn0061178	suppressible	FBrf0141489
cora	FBgn0010434	chem	FBgn0002175	enhanceable	FBrf0234100
dpp	FBgn0000490	tkv	FBgn0003716	enhanceable	FBrf0199087
peb	FBgn0003053	Sec61β	FBgn0010638	suppressible	FBrf0180294
Src42A	FBgn0264959	csw	FBgn0000382	suppressible	FBrf0089086
PolQ	FBgn0002905	DNAlig4	FBgn0030506	enhanceable	FBrf0234145
dco	FBgn0002413	dsh	FBgn0000499	suppressible	FBrf0191849
Mer	FBgn0086384	grk	FBgn0001137	suppressible	FBrf0134575
Cp110	FBgn0031191	Cep97	FBgn0031575	enhanceable	FBrf0246316
pygo	FBgn0043900	CtBP	FBgn0020496	suppressible	FBrf0213805
Atat	FBgn0035989	nompC	FBgn0016920	enhanceable	FBrf0240422
Rab11	FBgn0015790	nuf	FBgn0013718	enhanceable	FBrf0187226
aop	FBgn0000097	mir-7	FBgn0262370	enhanceable	FBrf0209364
hiw	FBgn0030600	Med	FBgn0011655	suppressible	FBrf0175022
Vps33B	FBgn0039335	PGRP-LC	FBgn0035976	suppressible	FBrf0233203
shrb	FBgn0086656	l(2)gd1	FBgn0261983	suppressible	FBrf0227449
CycE	FBgn0010382	S(CycE<up>JP</up>)42S12	FBgn0082623	suppressible	FBrf0180291
N	FBgn0004647	wg	FBgn0284084	suppressible	FBrf0220483
ASPP|Csk	FBgn0034606|FBgn0262081	Btk29A	FBgn0003502	suppressible	FBrf0202129
Dcp-1	FBgn0010501	Uba2	FBgn0029113	suppressible	FBrf0209948
Ubqn	FBgn0031057	VhaSFD	FBgn0027779	enhanceable	FBrf0241650
DAAM	FBgn0025641	Ank2	FBgn0261788	enhanceable	FBrf0238411
gcm	FBgn0014179	osa	FBgn0261885	enhanceable	FBrf0220515
tkv	FBgn0003716	nmo	FBgn0011817	enhanceable	FBrf0201674
fng	FBgn0011591	CycE	FBgn0010382	suppressible	FBrf0152035
Egfr	FBgn0003731	Sulf1	FBgn0040271	suppressible	FBrf0219175
pbl	FBgn0003041	fz4	FBgn0027342	suppressible	FBrf0199094
pnr	FBgn0003117	Fmr1	FBgn0028734	enhanceable	FBrf0147055
B52	FBgn0004587	Top1	FBgn0004924	suppressible	FBrf0211891
Prosα2	FBgn0086134	Prosβ6	FBgn0002284	suppressible	FBrf0194466
fra	FBgn0011592	mud	FBgn0002873	enhanceable	FBrf0231294
ci	FBgn0004859	ph-p	FBgn0004861	enhanceable	FBrf0130036
Idh	FBgn0001248	Zw	FBgn0004057	enhanceable	FBrf0227214
CYLD	FBgn0032210	Traf6	FBgn0265464	suppressible	FBrf0200559
z	FBgn0004050	Scm	FBgn0003334	suppressible	FBrf0086923
