## FlyBase gene genetic interactions report
## Generated: Sat May 29 01:03:13 2021
## Using datasource: dbi:Pg:dbname=fb_2021_03_reporting;host=flysql20;port=5432

##Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type	Publication_FBrf
hid	FBgn0003997	Dark	FBgn0263864	suppressible	FBrf0200411
fzr	FBgn0262699	dco	FBgn0002413	suppressible	FBrf0237532
raw	FBgn0003209	Jra	FBgn0001291	suppressible	FBrf0243855
pbl	FBgn0003041	CG3603	FBgn0029648	suppressible	FBrf0199094
shg	FBgn0003391	arm	FBgn0000117	enhanceable	FBrf0132031
Hipk	FBgn0035142	ci	FBgn0004859	suppressible	FBrf0237780
Sema1a	FBgn0011259	trol	FBgn0284408	enhanceable	FBrf0219528
Pcl	FBgn0003044	gpp	FBgn0264495	enhanceable	FBrf0183454
Cbl	FBgn0020224	grk	FBgn0001137	suppressible	FBrf0187407
tkv	FBgn0003716	hep	FBgn0010303	enhanceable	FBrf0108559
cher	FBgn0014141	vari	FBgn0250785	enhanceable	FBrf0236763
corto	FBgn0010313	osa	FBgn0261885	enhanceable	FBrf0145129
ninaE	FBgn0002940	Arr2	FBgn0000121	suppressible	FBrf0174855
y	FBgn0004034	su(Hw)	FBgn0003567	suppressible	FBrf0102926
zip	FBgn0287873	aPKC	FBgn0261854	enhanceable	FBrf0210666
moi	FBgn0261019	tefu	FBgn0045035	enhanceable	FBrf0207599
l(3)mbt	FBgn0002441	nos	FBgn0002962	suppressible	FBrf0238564
H	FBgn0001169	rho	FBgn0004635	suppressible	FBrf0149093
Acsl	FBgn0263120	tkv	FBgn0003716	suppressible	FBrf0224180
Raf	FBgn0003079	phyl	FBgn0013725	enhanceable	FBrf0079990
Nlg4	FBgn0083975	Rdl	FBgn0004244	suppressible	FBrf0222852
InR	FBgn0283499	N	FBgn0004647	suppressible	FBrf0230832
mys	FBgn0004657	kiwi	FBgn0020295	enhanceable	FBrf0093664
