"sample_002Cb"	"sample_002Co"	"sample_032Ab"	"sample_032Ao"	"sample_032Bb"	"sample_032Bo"	"sample_16_1_1"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_4"
"00c4a692e67b1c93a289ffcae447cfcf"	2.23639398076231	3.79093669592108	2.73348748462049	3.70267402464347	2.46439271363719	3.22902191762921	4.91048332371871	3.11541261928986	4.56136439019034	3.15784797676697
"00cee8684ccbb62fce87c20103b8aed2"	2.17039715940748	3.37594238160161	1.91403144028486	3.328022067513	2.74468423529791	4.51441681389469	2.90654077637384	0.890432059700478	2.3824293809837	1.12740898828547
"00d413ed2e7ee7dd251ede7c7ed3ff78"	2.74681991513478	3.31320082863685	3.01366054730734	3.32357408928607	2.59291121685909	3.63237746007748	2.99182806202906	1.5255905428715	2.61115097276207	1.65527438541602
"0112c347c6def14a99ba74cd77bfc94d"	1.68916586288447	3.58957252292889	2.45962174724523	3.91946385352807	2.05727964599738	3.00451548794807	3.45327733108006	1.60534488780071	3.18317151838227	1.32465606308192
"011b116b1e264e2cde7ec36aa569ad7c"	1.8391540568588	4.67888502873372	1.78409584520015	4.67747521953862	1.96247406399063	3.8676306656372	4.83024401595929	2.12261016841739	4.88985322591189	1.99813304266913
"0127000197e26a049598b4a6d0225ba2"	2.77201048559386	0.587411892813796	1.88456255143347	0.466830655831397	2.85616258411242	3.14793187463121	0.17896520959305	2.22916183226529	0	2.32364629171513
"013c9c13c8d7029019462bef0627adba"	2.19956361742562	3.70127096128592	1.90145626959912	3.75236984803303	2.48801888508895	3.71777745555044	3.45397618763146	1.0526305682192	3.75791065167579	1.43295292740123
"015116cb2ae1efade79e1af688f3c15b"	2.39809580623023	2.16735231805561	1.90309334734567	2.31703537034688	2.58108325276275	3.04331294945463	2.20815154883239	2.58246853502406	2.35611353757127	3.38041974720093
"01524ceb0052552ad3c425bf777b0b3a"	2.27331139931368	3.60340780673036	1.88303460304706	3.53850158823924	1.6357723932532	3.22571206696164	2.86015719402329	1.38769787573231	2.98511682856144	1.65809892540673
"01525c063123cb2134c64e84ad1e2118"	3.28584178489062	4.3241097553305	3.52767762744353	4.25575986211136	3.09774742471471	4.14971783549819	3.50085645494235	1.62366620844473	3.71623811938155	1.87527889533655
"0160f5a856b526939ba1062b1cc9df76"	2.08069275858139	3.81852942061555	1.5842698368291	3.76063812059459	1.85509726978911	3.57031264576296	3.39492696361679	1.17424714216405	3.3387479124908	1.8661576611687
"017a60cbade7b309db182bcabe59d6a4"	5.1943119711887	2.7293778088153	4.07498304862097	2.25938099267795	6.2352389728231	4.11731184989667	4.95434888112948	5.14754854511918	4.37912141861755	5.3359837666131
"017d459400583fe36857c77a1d541f39"	3.34697267206532	5.74117177461617	3.9218027672798	6.12162901110934	3.65398472836964	4.81942912980421	5.83041976581375	3.48691136184084	5.43989926050183	4.18355401888583
"018de0ee05bc68de9383baf688539f9f"	2.13593918865032	4.21153992893862	2.12994927759711	4.39288917310156	2.07224218841559	3.4532019297155	4.20697669546922	2.7734186277729	4.43594422632915	2.89841421931827
"01ac16555e036cea2ece2a239591aae6"	1.29998933973588	3.33045108475748	1.51598048903603	3.57925442134455	1.5580765968263	2.33369063990969	3.04606971626084	1.84999252765283	3.32446225900453	1.49285870188942
"01e013346904f75a91f713c559585ff7"	2.39415565276387	3.20171131388111	1.92138997159715	3.28521120568606	1.72882410678903	3.03979848789761	2.80973541109082	1.26599842076153	2.06681161892481	0.932094787291107
"01e7154d4b5f3188595e288aeab7f7a0"	3.30085761131274	5.03129264098288	2.72165016755624	5.2290410531095	2.75649903718457	4.22813743524098	5.18861310826286	3.06834638044642	5.23328560378681	3.22008061881242
