"sample_002Cb"	"sample_002Co"	"sample_032Ab"	"sample_032Ao"	"sample_032Bb"	"sample_032Bo"	"sample_040Bb"	"sample_040Bo"	"sample_040Db"	"sample_040Do"	"sample_18_0_14"	"sample_18_0_17"
"0112c347c6def14a99ba74cd77bfc94d"	1.68916586288447	3.58957252292889	2.45962174724523	3.91946385352807	2.05727964599738	3.00451548794807	1.08312633113266	2.79814072154914	1.28699875002431	2.80321491578154	3.36865008498288	2.05800082344499
"011b116b1e264e2cde7ec36aa569ad7c"	1.8391540568588	4.67888502873372	1.78409584520015	4.67747521953862	1.96247406399063	3.8676306656372	2.75340590282301	4.15221873836161	2.62167861939992	4.10212587579043	4.28141040263936	3.24386107756211
"0127000197e26a049598b4a6d0225ba2"	2.77201048559386	0.587411892813796	1.88456255143347	0.466830655831397	2.85616258411242	3.14793187463121	1.7479468962714	0.210098837793401	1.98272412217803	0.417196030983863	0.0954919814592207	2.64566402866611
"013c9c13c8d7029019462bef0627adba"	2.19956361742562	3.70127096128592	1.90145626959912	3.75236984803303	2.48801888508895	3.71777745555044	4.18860763765862	4.15863646548142	4.13596098127204	3.70887535611766	4.4699998160834	3.18407406552119
"015116cb2ae1efade79e1af688f3c15b"	2.39809580623023	2.16735231805561	1.90309334734567	2.31703537034688	2.58108325276275	3.04331294945463	2.90605370640931	3.12427499341683	2.57063317392983	2.92505226536625	2.52623251734291	2.1339534009261
"01524ceb0052552ad3c425bf777b0b3a"	2.27331139931368	3.60340780673036	1.88303460304706	3.53850158823924	1.6357723932532	3.22571206696164	2.80624711935579	3.3868854528544	2.62167861939992	3.09294972426935	2.68857512015687	2.21917087482767
"01525c063123cb2134c64e84ad1e2118"	3.28584178489062	4.3241097553305	3.52767762744353	4.25575986211136	3.09774742471471	4.14971783549819	2.46141623093973	3.69788627069053	2.3484089572809	3.85245769734075	4.52936523632062	3.45825171601195
"0160f5a856b526939ba1062b1cc9df76"	2.08069275858139	3.81852942061555	1.5842698368291	3.76063812059459	1.85509726978911	3.57031264576296	1.43262913232537	3.06451645660036	1.55620589783716	2.92773711846818	3.24516326260958	1.13275603323495
"017a60cbade7b309db182bcabe59d6a4"	5.1943119711887	2.7293778088153	4.07498304862097	2.25938099267795	6.2352389728231	4.11731184989667	4.1451666724416	2.96519885865507	4.03352325688339	2.98044962524543	2.81491527660143	4.36865465020484
"018de0ee05bc68de9383baf688539f9f"	2.13593918865032	4.21153992893862	2.12994927759711	4.39288917310156	2.07224218841559	3.4532019297155	2.6461868226658	4.07563602144234	2.78223811325	3.98151117665997	4.30540477379546	3.15394183860536
"01ac16555e036cea2ece2a239591aae6"	1.29998933973588	3.33045108475748	1.51598048903603	3.57925442134455	1.5580765968263	2.33369063990969	1.43128384339541	2.74173594281445	1.86828495357801	3.07656745954945	3.12300240220581	1.8605822847968
"01e013346904f75a91f713c559585ff7"	2.39415565276387	3.20171131388111	1.92138997159715	3.28521120568606	1.72882410678903	3.03979848789761	2.41922080405854	3.18964472892508	2.55777754755682	3.17649010837176	3.3930778405569	2.69874033177643
"01e7154d4b5f3188595e288aeab7f7a0"	3.30085761131274	5.03129264098288	2.72165016755624	5.2290410531095	2.75649903718457	4.22813743524098	3.20242965483628	4.11659846565849	3.24006847369146	4.15878871122171	4.11010774810754	3.26540022378778
"01e9bb0d97f8ed373a8d529ffb971acc"	3.06212184606341	4.62617651011911	3.39727683970458	5.06195977433086	3.3967127741586	4.17049251054216	3.51099304748504	4.58182990858016	3.04404136964778	4.5901712624103	5.00850035005754	4.3143351481609
"01ea06c562e6b8f6bbc5be68d99c0373"	5.33849865666105	5.83696712383883	6.00281142461299	6.06799185067505	5.43096949836104	6.25792430971604	4.77195923553255	5.35621356371448	4.78473962584667	5.19114020178199	4.84525030057366	5.38846972216223
