"sample_088Ab"	"sample_088Ao"	"sample_088Bb"	"sample_088Bo"	"sample_088Cb"	"sample_088Co"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"028a375a3a51f2d5d05b85cf4ef10890"	2.51288005355444	3.46977585618743	2.50152283321081	3.34889796727049	2.38345515062689	3.87408268821802	3.18665870202127	4.54810405024333	3.66796424813156	5.04956309255935	4.49095278589106	5.11605152020223
"02a63d174c8502c109303db99cf1e437"	4.51934668501249	5.61632459800043	4.53609873998567	5.71554818641085	4.42715223538219	5.7983883458874	3.49227924076528	4.89518086512965	3.05668888731382	4.94771514624146	4.57039528753887	4.95492315624774
"02adf979cb3500c39977fffbf7d2a048"	2.40923642176885	3.48323363735382	2.10325306243478	3.06743389333525	1.9018297022389	3.65274528106419	2.96912909164052	4.36374907466354	2.18567079814631	4.01136995702616	3.91774694375205	3.9664401718914
"02c00510d4deae8d414f84d4af078919"	1.48879228346424	0.66303842712296	1.53862910742317	0	1.21980875120797	0	1.68830824083185	0.26555915536401	0.768165595277886	0.687390643447566	0.241960595043212	0.456097384071166
"02c19d40dee2d87c409a2e2f7b713d7f"	1.69736087380441	3.22323749892327	2.08197084030556	3.37486709548279	1.664933166212	3.89803888176102	1.30611847791222	3.66290440455269	1.62147240654306	3.84796957194986	3.29435636319328	3.54413341172182
"02ccf6f06e50ce9c5e49ffe2278c9f27"	3.29549013923488	6.46689784647965	3.30448528629993	5.94170113448588	3.44729567201981	6.37102552153038	1.80741625950409	5.31840042510793	3.58207300470868	5.42818737949507	5.20762409241359	5.42363606210899
"02db2ad8ae83f16a31add624ea4ad90e"	3.10009859516466	4.46613751762798	3.38613044326929	3.68021653918514	2.99599323949942	3.65800727477015	2.54598481579654	3.58376379736461	2.48958037755388	3.49088987236324	3.19541557260981	3.46411834525863
"02e684d182b54679f214f81d9955e727"	0.361513220578982	0	0.486811580895103	0.324428573418785	0.397271633079637	0	0.180406390700238	1.3621881265763	0	0.229949140666822	0.446412534761481	0.648400829147534
"02ed78575eba82d038ec26a744d9b6c5"	7.8310396820265	8.12337391657838	7.85064957689931	8.37412525646484	7.91685650905811	7.26748454771834	6.99035410898968	7.17076777022832	7.02696388647241	7.02221448929058	6.6741177479645	6.90102426041787
"02f7b0f943947c68160210ebf8af9e7d"	3.60255985185538	4.74856146301128	3.37776573473527	5.00703651550686	3.26554177830427	4.83960263090567	3.20429232676951	4.18397499661292	3.02262113537136	3.72283724187945	4.03639736066939	3.89355786566517
"02fd2fc743a4623995fcdfc706ba981b"	0.486811580895103	0.706941598582092	0.272741008582481	0.757201209350051	0.385493666563661	0	0.548112159912006	2.93431251069669	0.556864578254977	1.63044765401185	2.01610549727724	2.60050656342596
"02fdd4f04802f7d7700d7b017e231832"	2.73816548278455	3.90191771856992	2.61223656124981	4.22457894233587	2.43206127435259	3.01154558153777	2.46402820400658	2.75211301847845	2.46790290197181	3.05525699658582	2.74138387601084	2.69007792968224
"03202b02066380ba1d7fadbf07ec658a"	5.14136830824282	4.46693793304127	4.82897479875303	5.01868719039899	4.82016220364297	4.29208551563267	4.81612156997053	4.00739878308088	5.32634330523391	3.28642770128694	3.49873755802336	3.42973663521431
"03355cd11fa9d7ee1d42bfd508147739"	2.78575845847151	2.35219839704591	2.29354459900798	2.56919080119267	2.48702390216675	2.35005092296931	1.8887845046757	1.24786690744402	1.80868413802593	1.5949329430021	1.65137375223432	1.54213068138448
"034f5e1b4e4a4747a0048a61ae79aa98"	1.06742393297567	1.8753447098135	0.928164619938677	1.18407441152516	0.915764054582556	1.44648608909089	1.6244731151682	1.60327657028856	1.35828575670058	1.33854215808238	1.18820920914646	1.24671730165283
"03734cd02763530410103ffac1802bfc"	3.80943331415516	0.115059329734787	4.28034296224683	0.518424677681289	4.15300490316022	0	5.41656735094466	0.768165595277886	3.49135320967974	0	2.72755997506352	0.446412534761481
"0381b98525605c48d762e395044ca5b2"	2.86895970283231	4.42256258828834	2.81409048566479	4.55055305799127	2.69086199323128	4.76336245899221	2.38471349087024	4.69093190345555	2.93941289592756	4.76460508355477	4.19057537990868	4.59184803915902
"039544c0752df4a57b038dd86e16eba6"	1.1990185522608	2.56513241762808	1.26996838843151	2.51991336831953	1.40264003965598	3.37546307669863	1.83692019781439	2.76080658465263	1.99770965815172	2.44310570402908	2.81326510615933	2.97937034426186
"039c7e0354d3997945bfb6b56867ef87"	1.71004313960807	3.95336224215558	1.48879228346424	3.55645259412574	1.84262683958951	4.20475799038856	1.40786601100782	3.33254045373985	1.41896675769385	2.84382228150985	3.0247037188692	3.16506720126978
