"sample_008Ab"	"sample_008An"	"sample_008Ao"	"sample_012Ab"	"sample_012An"	"sample_012Ao"	"sample_020Bb"	"sample_020Bn"	"sample_020Bo"	"sample_020Cb"	"sample_020Cn"	"sample_020Co"	"sample_020Db"	"sample_020Dn"	"sample_020Do"	"sample_024Bb"	"sample_024Bn"	"sample_024Bo"	"sample_040Bb"	"sample_040Bn"	"sample_040Bo"	"sample_040Db"	"sample_040Dn"	"sample_040Do"	"sample_043Cb"	"sample_043Cn"	"sample_043Co"	"sample_056Ab"	"sample_056An"	"sample_056Ao"	"sample_106Bb"	"sample_106Bn"	"sample_106Bo"	"sample_16_1_1"	"sample_16_1_2"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_2"	"sample_16_2_4"	"sample_18_0_14"	"sample_18_0_14_resequence1"	"sample_18_0_17"	"sample_40_2_1"	"sample_40_2_2"	"sample_40_2_4"	"sample_7_1_1"	"sample_7_1_4"	"sample_7_2_1"	"sample_7_2_2"	"sample_7_2_4"
"019824552e3a676db7346d8a462c6d9c"	0.113100980812874	0	3.52194032875179	0	0.214700004691302	2.95358805110887	0.504504084875968	0.359147484688998	4.59859441290474	3.79833690585627	0.838254809259856	4.61108159910576	0.454981357820028	0.0315064189673094	4.48888353019671	0	0.192997696791189	3.01481822252898	3.51696060108462	3.19786462754539	4.5704834985878	3.6603668044639	2.93486168398997	4.90688755129493	0.120420443525521	0	1.98773968155296	0.157540356946515	0.193331557022263	2.75833391603588	2.24593960640795	1.88041040418543	4.77514453713479	5.77962420441182	4.95997182238139	4.53550914847078	6.42129300384899	6.07641962469572	4.61760678983809	4.87412193601927	4.84288308701445	3.67698145278141	2.01084747458841	0.107734495536399	0.157540356946515	4.71386614785546	1.35296635183388	1.49560381943014	2.49322900604432	4.57338639028341
"0209584f794e64ff8cbb96bea8f1325c"	2.25428783232772	2.13583428052104	3.13693144349221	2.15143133457497	2.16373615870013	3.19907854555772	2.56148088773036	2.72520645401957	4.66134433559889	3.95102723361179	3.15570664841677	4.38676339847416	3.16114704604813	3.42333114595509	4.32071697514768	2.34244358349334	2.5526782202348	3.20826452362222	3.98034307511472	5.03273777822251	7.57301030446026	3.61488502916733	5.24511762372618	7.24892290845876	5.12667248523145	7.64600557158986	10.1603066751072	5.62327961766974	7.822657000639	11.3265326021451	1.61320281628096	1.79568093687993	2.64600527947067	4.75803213862021	4.32790178257631	4.10834364948471	4.99215673223843	4.71133989615971	4.05177966083281	8.52937409405582	8.48219393232154	5.78603045784432	9.15602239188261	7.08102904084953	2.71034016322134	3.25704271371288	1.38982437328922	1.46530769301408	1.75046253555316	3.06211510852375
"0228318ee8fa9c5d265f6bc85d541024"	3.29986607394225	3.8517578070594	4.16944331533918	4.12597828442751	5.37909635577531	4.14951183108639	3.8266224903036	3.03017833695625	4.22923832639692	4.18977970391533	3.38232399448861	4.1815020840876	4.00932255058693	3.54640591367746	4.19991129661538	3.0062974413871	5.24101511407169	5.13280448640186	3.84248212666978	3.89275659434235	4.3236729479563	4.13606535270423	3.84069025570287	4.2535552756023	5.47617395113116	6.46570556211706	6.93726472377806	5.27565798745408	5.574356462772	7.09701147574974	3.05586548052828	2.73232874423782	2.72362691834109	3.58232283452003	2.790833641841	2.73092092742294	2.90167277132631	2.33052724936174	2.61549153906526	4.28854116407467	4.15195602156958	4.24425483564907	9.24283938497598	6.64798644703026	7.27730026423784	2.68474336121849	2.41307045416912	2.17974378582532	3.25657653725155	2.74017431852155
"02677ced35ad45c6a17b10f76f78b09a"	4.19159187971462	4.15093887717337	4.64867378179956	3.9739740882825	3.35924749436547	5.19357837992324	3.53433791457764	2.88838311518969	4.8066922607422	4.16548393721009	3.09164463564653	4.70138239520517	3.54224498996819	3.41914809915299	4.69218254297724	3.72023845541275	3.49847683329847	4.24982100569338	2.81128044935077	2.52889961147363	3.9822652294824	2.61803066778008	2.90055858443439	3.59605393498217	2.97108798229613	2.98699198830026	3.95131204317033	3.30394597222354	3.05088803898714	3.83702028233493	2.74950847315498	3.07113631615972	3.79615368744543	4.88193063403381	3.57114277988285	3.12716562933759	4.88674639050988	2.93761797947665	3.09215637816819	4.155627790639	4.21063314841162	3.51943660954334	3.29555282566869	3.40284325979468	2.87718525238498	3.47517651218282	1.93781389120319	1.84469973993855	3.53763758126935	3.15868028598252
"027cd89559e091f3bc647af9e455da01"	1.01869026815603	1.80322762450042	1.7765688402986	1.877153984245	2.14053899287131	2.91899619711141	2.95306169645733	4.74071779967221	3.91338735428083	3.04399830038744	4.30355463862007	3.58042303999301	2.87583234886823	5.19582422493016	4.04217340894495	0.571933893311887	2.03329223113484	2.6817756963132	1.13812142176282	2.04727985487144	2.46568135580287	1.05445139288234	1.63736431507494	2.53421255395657	1.33530181097794	1.57379228902497	2.45041483773604	1.75398560222124	2.42683552543686	2.3389479764393	0.892200887582466	0.867087882561922	1.24398743301409	4.2579112010141	3.02903038653049	2.69756946961149	3.60108709951339	2.65477304542568	2.88692493553425	2.56935502286514	2.00095283425554	2.07491882961885	1.44501882583956	1.68785899829711	0.669199203159963	0.982261976173564	0.495650055104257	0.353241556604199	1.76299898990862	1.09367344597126
"028ee642eb064920b3b1a73eace34e08"	3.04059019276248	3.53171879049379	4.65058274771312	2.78301542475846	3.39602536313628	4.2154491125731	5.72423256494845	6.65423156209573	10.3793571452926	7.95666162792581	6.86353451003031	10.7415571498555	5.3309278318007	7.24793405544832	10.6721212959413	2.03329223113484	3.56275981219394	4.07883025193697	3.98243200261561	5.50082955966666	6.2273314859457	3.78985606614296	5.94599918986108	6.96962860695807	1.87222562569603	3.38902580767401	4.46160944430283	2.47225166214593	3.36228401593948	4.36156621558011	3.2635464678308	3.79070201859679	3.8593557149085	12.8245094480612	8.77988570365334	5.31599620586636	11.749300333007	7.89201823645068	5.99258242045446	6.62155630419711	6.7637783008477	5.45976018459052	4.18914872007952	3.16099206096667	0.811495389808975	5.62084439053388	2.19738067626326	3.04093649208925	4.66033934201046	4.83432865138288
"02cb5f2bfea2a37020777fd75fc88635"	5.27774951106643	5.3249381237978	8.01693410681234	4.76741946367608	4.78549740786337	8.73674990861688	4.33842593938798	4.62874353829396	6.56430822517698	5.70363152993129	4.58855625578934	6.08471236534228	4.67650982698946	4.94445873877958	5.99017270303663	4.75480769728621	4.64854202930419	8.90213138095382	2.98926138242368	2.39971180372477	4.62923626088129	3.08839349341437	2.53949741819408	4.33642631503656	5.48280480472851	6.11221785568801	8.71491872703237	6.08109559165287	6.24851241696081	9.0811610494184	1.92553541528028	2.19063401834559	4.14066254608631	9.27269053954963	6.76356691975369	5.4460905492149	9.00394018354346	6.50212674151723	5.33656777289377	4.56615177237088	4.57445218213189	2.9654483084454	6.99759302802687	5.0460689514967	3.33007072021658	4.19172842379476	1.93257013686091	1.84086545653598	2.73704347129236	4.24275070230173
"02d9bfbacf29e21709f9ea6227d42cb3"	1.70904792560017	1.89730946693302	2.64655947515919	1.63404271629135	1.62360311061745	2.98028990151372	0.930739444670555	0.817272726572848	2.97290551417638	2.21681411003393	1.24721043883715	3.43629151526257	1.07721294730222	0.973960215095896	3.37194129892977	1.18229451908266	1.35081613611331	2.65594780755237	0.718863659064582	1.13812142176282	2.30937200968302	0.718863659064582	0.904056194205812	1.89380449471756	1.97005152960584	1.54387935123251	3.36376124586971	1.72654071678562	1.30491916190702	3.23753658479563	2.12777386295997	1.98047443345609	2.98379885267696	3.55349926780881	1.13695376925585	0.528202959477528	3.16662249084267	1.83592562579999	1.07826875510851	2.94369659840687	3.10275091376319	1.86576862697598	3.72353200871631	1.64213102090299	1.19066231144613	2.49622568050772	1.38377494004226	1.64407602611471	2.31760965683713	2.54013043881797
"037c1287b740ca30010808aa48bdfce3"	3.67110722043035	5.62584665647031	8.62996072537183	4.00644052936532	5.77403175080522	7.55811626116353	2.64214256537707	2.40969196288727	4.32305392894246	3.48651587097013	2.6602122634212	3.89662620062656	2.56148088773036	2.93281611567317	4.0020359797805	3.56313176556058	5.88569301531793	9.52574279557662	5.84104765410255	5.82631620181262	7.39448246554594	6.0768944629594	5.79559002297833	7.37645023777962	3.98571897379169	5.45863157111	8.74381704947992	5.26767180937264	6.56496199011829	9.53909571195303	7.54605581785998	8.29703602504379	9.56646773116904	3.91837848650497	2.83960043252224	2.07055315676243	4.07695235752182	2.08721896893249	2.1867705685475	6.53906287935736	6.49177157014401	5.66620662943763	7.10687341469097	5.2056636773131	2.8553271379996	9.37666684570254	5.83460708945051	5.63001860908399	8.73324679822543	9.43228555833878
"040ed2ecb0d3491b52973596fa95cba3"	4.64119481513647	5.5385599567586	8.91153591891573	2.8777142511954	4.71599041315551	7.07241359706507	3.96021992699731	5.06380498428493	7.062934838474	4.90207993219969	3.95102723361179	6.52122412686681	3.68451253297823	4.72352091825204	6.00033661367478	3.48571115270802	6.17765185509307	8.75489011900326	3.00758178991114	4.28233336314193	5.41875598413452	3.00012759993927	4.59608705900493	5.52651293490663	2.87397839577879	3.97134341713219	5.6407320581859	3.01806072786954	4.29363958460707	5.45334277511711	2.51597725366517	4.27761643121524	5.50820257315952	5.86381600510698	4.011585549285	2.31602457719066	5.91987211755304	4.64258989368886	3.41069440846843	5.75286973754458	5.78422602505848	4.53188418361694	5.14250854442903	4.41748090068118	2.00320405371597	5.29731894328937	2.52667659486112	2.52764360959128	4.82950406857685	5.44129498092963
