"sample_008Ab"	"sample_008Ao"	"sample_012Ab"	"sample_012Ao"	"sample_024Bb"	"sample_024Bo"	"sample_8_0_12"	"sample_8_0_15"	"sample_8_0_4"	"sample_8_0_6"	"sample_8_0_9"
"0112c347c6def14a99ba74cd77bfc94d"	2.2722774204191	3.97572336290467	1.87102726134746	3.86047009839678	1.78553429967128	3.58256125780413	0.926792197953112	2.69465907215343	0.94530569694268	2.19479407049043	0.199100008032773
"011b116b1e264e2cde7ec36aa569ad7c"	1.27568956266247	3.04693072594418	1.15332614293146	3.12238496833934	0.775114189423935	2.96805450356149	2.00209494622719	4.62891389973583	2.2376787175397	4.3267622025882	1.12910528224873
"0127000197e26a049598b4a6d0225ba2"	0.724839627292435	0	0.501953381566355	0	1.31216869650197	0.564395774148579	2.16700926353372	0.136477568926128	2.32240848092588	0.118527961947003	1.2105978850176
"013c9c13c8d7029019462bef0627adba"	1.76068323293224	3.42848207905065	0.906989610239071	2.32568326440668	1.01387468832435	2.94031654623578	1.9240293553094	3.31617965252278	1.95770152164937	3.48800228905079	1.53603680383569
"015116cb2ae1efade79e1af688f3c15b"	2.63422136947233	3.4280504230723	2.00502977338474	2.52217072240395	1.85866004227329	3.28486054974883	2.3306126263542	2.71674086101518	2.77137999201965	1.26673124205471	1.27994446729997
"01524ceb0052552ad3c425bf777b0b3a"	0.974491713162854	2.48406713082388	1.28309262473153	1.85658388699329	1.28309262473153	2.53279601153133	2.86350289009041	3.83726411377998	2.85719683871086	3.59083588199424	2.16635016339032
"017a60cbade7b309db182bcabe59d6a4"	5.70139561169716	4.30286707857383	5.4833421829079	4.3730693880493	5.51168634196327	4.59852067692376	5.99028869606603	3.20737603502321	6.25975163696519	2.95607043912102	6.18530007961185
"017d459400583fe36857c77a1d541f39"	3.25194051313803	4.77779811939336	3.13808607155888	4.78170888759291	2.91755854741254	4.76891432960442	3.72996285446471	5.52732334818822	4.10416670004041	5.39982170470114	4.63274823170951
"018de0ee05bc68de9383baf688539f9f"	3.70037883209861	5.06930286488208	3.50088825523123	4.98541313965668	3.49484876217693	4.76427245785292	2.46900014274866	4.61763276444356	3.04529318823797	4.74636310402903	1.9935578922028
"019f94720ba42ef1861b87fc58cdd3de"	2.76809175100447	4.34740368060868	2.33731641698011	3.46284156198351	2.78794089722258	3.62315890131879	2.38423291178722	3.41789060460382	3.4871396985217	3.15509528838766	1.17387806649657
"01ac16555e036cea2ece2a239591aae6"	1.25721525724279	2.65217779698296	1.01992200277372	2.18709001755468	1.09159480518581	2.8070362108791	1.05969896916914	2.49204460825491	1.27980077837349	2.32185861945031	0.29510109682646
"01e7154d4b5f3188595e288aeab7f7a0"	1.50979988097553	3.24054827158943	1.42709795547086	2.64372570150484	1.27196737767908	3.00233989506128	2.97632965424395	4.85722120514154	3.20098847585504	4.65260323922272	2.08368154016861
"01e9bb0d97f8ed373a8d529ffb971acc"	3.10045718575609	4.19827876892957	2.84295933378296	3.69876365164998	3.07491792654025	4.39901775676221	3.6374634153515	4.6428007894329	4.08396690007592	4.78719303150561	2.75249366218931
"01ea06c562e6b8f6bbc5be68d99c0373"	5.10391192278789	5.76453234353086	4.59476337246256	5.00967710184332	4.77555650872791	5.67750639571111	5.26152179675598	5.61446222335741	5.34713396846323	5.3721453566533	4.1077959519296
"01feb696b69822d637cdf0956d28bad4"	6.09174824751999	6.18969410632919	6.43070906887773	5.91292984141103	5.95084451135935	6.30115473577041	0	0	0	0.535393350509669	0.69669288710644
"02104476719f02b32307edfdb1e6a0c4"	2.06180589963626	3.43777240607328	2.02884980739555	3.3859748703202	1.93423828780836	3.77494591025648	2.69465907215343	4.12141716964486	2.76048931878345	4.03648166499788	2.10115606562648
"02266378f920e88e1dac1ed916c48ff6"	2.15430356106012	4.0913160515017	2.13658088979728	3.77113914860524	1.82389964973362	3.97780377690766	2.14076486037811	3.92656147210738	2.21531947368005	3.78140371513655	1.52997488200336
"022b87e073ba519506a6d0d9dac1bba1"	4.51051230339168	5.88361224898163	3.60052585857004	6.21253842813146	3.46284156198351	5.67518162526461	3.46916975039103	5.4974714252251	4.00543684285676	5.40993562562401	3.33231079024156
"023ba7a7b10d718c663d5207c4f61f07"	1.50685575578214	3.07066463794589	0.846082836830659	1.9402714241418	1.09274343391462	2.87042723720026	1.92019958996173	1.68168564112163	1.56373737046274	0.580426310495826	1.74410865575205
