"sample_016Bb"	"sample_016Bo"	"sample_016Cb"	"sample_016Co"	"sample_028Ab"	"sample_028Ao"	"sample_106Bb"	"sample_106Bo"	"sample_7_1_1"	"sample_7_1_4"	"sample_7_2_1"	"sample_7_2_4"	"sample_8_0_12"	"sample_8_0_15"	"sample_8_0_4"	"sample_8_0_6"	"sample_8_0_9"
"03ec6aa1fb530f3bb3fa3b994be9bf36"	1.55561257301916	3.49917521224126	1.96517411589383	3.97187808887292	2.21514908040493	2.80834526901439	1.93781389120319	3.4408692750696	2.58035621381729	1.12559820458643	1.26128229008728	2.42385094548553	2.13892857551188	2.97392010848861	2.82131602729076	2.8535754457286	1.4412275231447
"03f20837ac22d72ee3fafdf1f4e68653"	1.32100782695699	3.2492032636718	1.69512099095913	3.680428999384	1.88128720530663	3.09910887755987	2.51988118117057	3.32025175258886	3.28914657285641	1.32117833992793	1.21208233303107	3.21467782558665	3.93508244120856	5.05347825947849	4.10572370681808	5.54862110202878	3.31645136407995
"0411d28ec5eaa6eb89f5622cdd93c17c"	3.07131240797346	3.38770206141914	2.79398425910319	4.0044296650034	2.83514183626036	3.32773858848974	4.49003314659399	4.09009496211532	3.26169256456079	1.52763983166096	1.01788295643298	3.64533252637475	1.84849260746597	4.52963967635369	2.5917231050512	4.4485435100775	2.67316554564868
"0425b855277416df2cf64ae8fe37787c"	4.64533913211866	4.73427909006033	4.75852313342575	4.69584896649157	3.77152868492959	4.75668637573467	3.93525552821575	2.92124334422992	2.28118064346536	2.46995120589441	2.78823443722166	2.03413620469071	3.17567968095096	3.21498763564793	5.30504842208066	2.96908352898436	1.7550512238493
"044d8b015396831afaed872386df89c8"	1.27173948434731	3.12120014948395	1.31195301558287	3.07339811255804	0.835533502323984	3.0759991407173	1.62041247106213	2.49921340173652	2.86353285060673	0.748421041968167	0.545980389840366	2.57668180085549	2.00633629739568	3.91111651468954	1.96529812456899	3.7494060005329	1.94750202420662
"049909aeeedfc375f8393ff5868a0e4f"	1.05396144567602	2.98808137996744	1.21658760213423	2.88100609220412	1.19977018568233	2.59664754248111	1.29830978345134	2.18384153368248	1.62994519336437	1.04378996756688	0.419049093262551	2.11032167931102	1.04419552483347	1.94525507739986	1.11887755402883	1.9497439335602	0.772172755744953
"04a60050a56c46177a86669fac9ce51f"	3.18188851022271	4.5389664498159	3.97060469481964	4.72732828596685	3.64135381634389	4.56461857157851	2.41198598532597	3.08285447773539	2.28734505125627	1.5223712611896	0.950017534948856	2.50219222307099	2.07778817562314	2.78117872232186	2.71985597127891	2.56545446064467	1.26228774912606
"04bd010b35ca56e2058a2802f6cdff49"	2.92546285548519	3.2822915784381	3.33818541030989	4.17484767158682	2.84435353168781	2.96454842213498	3.1820599617437	3.48487225426188	2.40326763397008	2.25232442316093	1.55357418953179	2.49522778647165	3.06015728824995	3.89139294150067	3.56845718875276	3.69851310116472	2.22585522513532
"055c44d14b3f9512aa2bbe0cf59fbf72"	1.28428599849163	2.44372921016017	2.21637710229412	3.51971937385252	1.70130252672565	2.53433383323978	1.19756884266532	1.95851818976271	1.8214703634629	0.861988705261485	0.754131737591928	2.16596206905584	2.50047614701169	2.99697270390207	3.03020480885416	3.23686284416091	2.02520286126684
"05819591b6a3ebaed8da5f8d2152c064"	5.71558951969219	4.66621042024924	6.03494158108956	4.52430363988618	4.41733885422294	5.1417931329026	3.12361854366472	3.9183185468556	4.0470384837525	2.16039575688106	2.29469252848673	3.92503221748679	3.86271292212418	5.18512904898902	3.94182566143009	5.21857365417095	3.13818069107769
"061169b9d888a7e03b29bfa6297f1314"	2.89355474237766	4.18329553475734	2.59496802407621	3.72538889894491	2.86445382685411	3.76919364031846	2.19872456290628	3.33242787808388	2.90348101048984	1.04378996756688	1.00023106469794	3.06945102711484	2.17174538880942	4.26214813005514	2.52596989520492	4.30235303387202	1.3994040523696
"06be595056a308fabe77dcdfb61fa3f5"	4.1369129988242	3.25530132736525	4.13367081467771	3.04325811499465	3.83235423449822	3.16871691839826	3.47742234949365	4.5068683105217	3.64628036065498	2.65710596859249	2.35045292718602	4.19902292026332	3.95788637642822	0.888704095634175	4.43127945370681	0.835552582437043	1.35169049391286
"070d5641c2325ac185497b61378aec1c"	4.47885158708522	4.55507597241572	4.76458940835363	4.71287574288613	4.32578231468753	4.36246990489243	3.53728548228823	4.02738649411787	4.29823019785782	2.26748368384616	2.40763631082423	3.91301171649224	2.08563830203974	3.29276519027207	2.54837146971467	3.29801286716602	1.71338414846981
"07131ddb13bc74a931a20d3e5c9bf2c5"	2.66632161519659	2.87276420632419	3.23157248012776	3.2596344317795	2.59999814055912	2.78637870190078	2.54394138094685	2.33181762842413	1.86365368330272	1.83315250067569	0.931114317623171	1.8214703634629	3.78326375087536	4.40797874644498	3.75162530688131	4.31463209232097	2.87953817486839
