"sample_002Cb"	"sample_002Co"	"sample_008Ab"	"sample_008Ao"	"sample_012Ab"	"sample_012Ao"	"sample_016Bb"	"sample_016Bo"	"sample_016Cb"	"sample_016Co"	"sample_021Ab"	"sample_021Ao"	"sample_024Bb"	"sample_024Bo"	"sample_028Ab"	"sample_028Ao"	"sample_029Db"	"sample_029Do"	"sample_032Ab"	"sample_032Ao"	"sample_032Bb"	"sample_032Bo"	"sample_040Bb"	"sample_040Bo"	"sample_040Db"	"sample_040Do"	"sample_043Cb"	"sample_043Co"	"sample_056Ab"	"sample_056Ao"	"sample_106Bb"	"sample_106Bo"	"sample_16_1_1"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_4"	"sample_18_0_14"	"sample_18_0_17"	"sample_40_2_1"	"sample_40_2_4"	"sample_7_1_1"	"sample_7_1_4"	"sample_7_2_1"	"sample_7_2_4"	"sample_8_0_12"	"sample_8_0_15"	"sample_8_0_4"	"sample_8_0_6"	"sample_8_0_9"
"02c5ba36522584f868e4d3548c1e02af"	2.11973775237994	3.55569752426667	0.637335800239314	2.18640739309642	0.586841774189014	1.98329607562106	1.10371955767156	2.44372921016017	1.85168470927917	2.69714502185971	1.22521194841689	2.90129369163889	1.02348276927161	2.25009002413317	1.61779906041273	3.37275534793579	2.21168596967055	3.27809560591212	2.28479663886625	3.69837575316109	1.9399589649523	2.94490716665983	2.34768177413598	3.46560652197486	2.4301404742656	3.76430607380326	1.28545029758679	2.93245961753765	1.90661333014892	3.50743083619795	2.10591062419321	3.24955768556384	4.2684936774333	2.89965658995332	4.69445207812975	2.9639579590311	4.08640329138923	2.95220636053651	1.61986634679935	0.272175971851484	3.59708922201856	1.38680423111409	1.62757051856991	3.84029088562383	2.46900014274866	4.46079890491419	2.55082983683311	4.62429320985715	1.31011285606654
"033d19faa0ce86082c0215df5bffbdb5"	3.64698049967214	5.06227988210631	3.23218072089061	4.47644511020992	3.17657064764273	4.71805587139941	2.73876141349768	3.92052694422581	3.12467010692127	4.42329865591692	3.01337177867367	3.79315433067884	2.89353397503544	4.72433502207394	3.1437853579168	3.88090263096711	3.56841488886857	4.30659755947847	4.4942548486129	5.22251831224365	4.36863581399225	5.07056691976789	2.08119001221395	3.59146230621042	2.56422601899226	3.76276400845461	3.77668928100759	4.77664042966623	3.56859862657105	4.13056068598577	2.86973074592041	4.00931939323295	4.3754022417522	2.52369858513178	3.70318755331486	2.66409914951834	3.79781681522631	3.26513326057746	2.47704020696447	1.48767223156422	3.7021640715355	2.58035621381729	2.11325161000438	3.47854337955712	2.90052624832539	4.02978996984428	2.98749806531969	4.05955613462959	2.56666357965046
"03522a86e8b54bd9508023e65e04dfd1"	3.35052435101163	1.01861444109945	2.96737034976758	2.71667357933578	3.19907854555772	1.31216869650197	3.78363500286616	1.0656657980178	3.71502277002278	0.409891961783218	2.06487869382073	1.10749311620759	2.99969291982935	1.1104305108892	3.68890885368176	0.976472149607816	1.53132849019234	1.79047594088629	3.36867639381092	0.831833327082896	2.98597058290714	1.62821903778261	3.71200941723003	1.46876757201194	3.55830978129046	0.655684824878127	2.7646242145839	0.872740853392665	3.39572014226868	0.94160363984644	3.19480329629785	2.20944655533294	1.10804169178277	2.45619162479962	0	1.76499822683097	0.541827116331607	2.47993148174614	0.384736412142731	1.70867527982355	2.21165756654099	3.77583463103965	3.02101333507399	2.25138850925793	3.59861617724281	3.52770080251293	4.74745561993929	3.17830513210235	3.52723849203113
"03576e58e1c6ff8ce50c0fadbbf4860b"	2.53108477662085	3.08452001935447	1.71624807684326	2.94941604667657	1.68219475794145	1.50979988097553	1.93311072768121	2.04110408833774	1.97146524674132	2.22857508527242	5.29336351646944	2.07015858808092	1.50094137348036	2.35388448736299	2.29653140635221	1.76110299142773	6.29182203350388	2.2368575986412	2.36969768930167	2.6856567413907	2.62004036399641	3.53963858150809	1.67560011468777	2.61559128591019	1.03090430564403	1.76809840773919	4.05065754730874	5.24664427899556	4.31420209381569	5.08813354276243	1.32117833992793	1.72490805318779	2.36297657344319	2.39513898955905	1.84645801442308	2.96082132471045	2.46851469951473	3.32875929652199	4.96833441489827	3.47362228587035	1.08553042635117	1.40478976181855	1.20847366026058	1.02224766963695	2.41000205272059	2.16635016339032	2.80335795666117	1.58007501100274	1.74410865575205
"035ad00cb4268363afb29c9db102e959"	4.05794461629496	4.92651082959818	3.27182229201234	3.98788334842568	2.82412837690315	3.656691433505	3.2998886833317	4.63784831225067	3.23112770314779	4.43990584423373	4.20720885400083	4.48913849083925	3.0998609558165	4.52762369350876	3.05976261871702	4.20183563163756	4.16369492535685	4.99256256166878	4.06635572011463	4.98880643537897	4.19618538602529	5.0899517504208	3.52731888876791	4.97756787719204	3.88900409142256	5.15575964462083	3.07875370963859	4.62953868752356	3.41833777554718	4.78937592492882	3.06211510852375	3.43073514808374	4.74601543702465	2.97911323924362	4.60361754125885	2.44854379572911	4.33489571819134	3.59559571968156	4.20941898474754	2.51798981667819	3.48078167658831	2.76563648635509	2.64514625443072	4.24881961800522	3.66039129253209	4.65963178000953	3.73598572514028	4.61576609059189	2.84263190861955
"0362c5f6815777388ea02ff51947c85e"	1.79255032308735	4.50883360961898	1.60521197060048	3.62407857742592	1.59839470238761	3.27827985706489	3.69647972375493	4.12788084830754	2.9892152840334	3.99969648151512	2.7023003691216	4.59356652313449	1.35125593534038	3.66499480766032	2.94697140145554	4.25243926842783	2.91278317976243	4.33838739419028	1.96483900536905	4.85706697244333	1.54909750022629	3.62566855795885	2.20269845717146	3.97727127463496	2.21553371520439	4.01563859959556	2.52370523860293	3.80746756560978	2.72720523313292	3.88694354852316	2.07751280786802	4.70634576700979	5.73260418330452	2.51295914011765	5.67877013795952	4.40115060035881	3.94062406762968	2.6621179492083	3.75928227781761	1.9023789820868	5.06237687632113	1.76299898990862	1.96532544644699	4.65101726161327	2.18067324551272	4.22900749774375	2.20871827104743	3.87094464471555	1.22138198136859
"036fd95372a59cb54c18db11e833a6e5"	6.19381889670147	6.02403546855446	3.89496848663756	4.56760448251431	4.10477196539809	4.11955624682832	5.5372495035837	5.12666928699465	5.89567196521648	5.49782629969834	6.21264651064929	5.14704981226498	3.90544505721632	5.34602843202067	6.07612375846539	4.82421504512762	5.17250755519095	5.23672713944176	5.77761798207573	5.51037434024515	5.72331985435905	6.63418638676291	5.47558994869398	6.00731944136957	5.70521811030468	6.11072249454704	4.28935886313179	4.85671696727295	5.37589613351894	5.22599430971554	5.12533550866495	5.0804506494728	5.63215744207061	4.79544513057594	4.61174041468726	5.03746697659405	4.68765391195084	4.77562747318273	3.36129798225345	1.57673495250509	4.44104337630821	3.49447489093016	3.0181166143776	4.55827772004981	4.77968810679646	5.00698479913997	5.40655213557926	4.86428962245992	3.75199471289398
"03c3804b27717d58097d438f97396ac2"	2.59224271195964	3.64099717827734	1.46027898447408	2.51551011874342	1.53897218009625	2.76180532416178	2.93328330112149	2.45925117796409	3.26910168174699	2.26896936253655	2.51303883871501	3.37288508425311	1.3270397530227	3.30300336112262	2.75464831368746	2.72851855446603	2.83229377379564	3.63403442902569	2.61413308983239	3.38745315374083	2.55621346111334	3.18876010781244	4.10982905625648	3.74949231115528	4.49098641519968	3.68245888631101	1.61477675928849	3.17008176246346	2.67734279185214	3.64107276933968	1.90593080535749	2.48418472259459	4.01680777783789	2.18593495178788	3.76805965188064	1.96670620613431	3.65735524672841	4.2343832778862	2.52968972991421	1.45795218426691	2.0895682183693	1.34037214295895	1.97040065063029	3.10371589585748	1.71054362925939	2.22245124783428	1.75232678694424	2.01476541107452	0.497847369375678
"040d33a988e7004112ecdeb4e029b32f"	3.58494923967196	5.49363734277575	4.5527539982338	5.28399334077021	4.14652864307489	5.19785373046958	3.88186720477724	4.62255352737172	3.81229609709658	4.61917790100552	3.38128608334202	5.26945490459469	3.72184893821623	5.00878885714692	3.95909745809643	4.37535608591759	3.95529504288202	5.06247022958888	4.02757919025554	5.40459514120923	3.79163637878915	4.96097820563807	4.31830636433345	5.62189664703299	4.38492055278587	5.43332146089687	4.51062736555874	5.09279777201921	5.18923391695592	5.25348078807036	4.45784469638967	5.55858669157052	6.75151146440929	4.9497437324879	5.79361645712213	4.90094591128713	5.87114494630863	4.7876174829788	5.53137897860754	4.27232758555706	5.58308274268409	3.60112008008083	4.41444035208446	4.96722876320506	4.70068850762966	5.69730482047982	4.74772404085628	6.00620113507296	4.21104885595377
"041ea541f1c4f5b3ffdc193464a3c139"	1.75246980703118	4.2442222257044	3.11177891365891	3.88099126294253	2.73583526291107	3.75008990429942	3.10164396728527	4.79102061730705	2.96454842213498	4.50358215665826	2.22188683716243	4.38896699456149	2.99304466516794	4.03439036145658	2.68262230158798	4.67978197905988	2.59286379129309	4.21134329038976	2.11379852296504	4.46075147819195	2.31081999294055	3.25836127220706	2.7021059020446	4.4623120052101	2.54475449940678	4.24017356992554	0.947133757691183	3.30863634283782	2.10523513333612	3.77636363598039	2.63824735882032	4.87664112774182	4.17585041436215	1.91314194504625	4.33393993051842	2.38652193176448	4.74255539312088	3.41747091320198	3.66009917149733	0.569750543082658	4.08277430082299	1.50370955135166	1.95680911043858	4.20536224588736	2.3777684549928	4.30580677931974	2.71128993649632	4.26663052634156	1.47228362222794
