"sample_016Bb"	"sample_016Bo"	"sample_016Cb"	"sample_016Co"	"sample_028Ab"	"sample_028Ao"	"sample_8_0_12"	"sample_8_0_15"	"sample_8_0_4"	"sample_8_0_6"	"sample_8_0_9"
"01ea06c562e6b8f6bbc5be68d99c0373"	3.92986072316113	4.02293998132907	4.04170743547161	4.11931559133555	3.88923058033746	3.85549438851859	5.26152179675598	5.61446222335741	5.34713396846323	5.3721453566533	4.1077959519296
"02104476719f02b32307edfdb1e6a0c4"	2.22493128795241	4.40434867137553	2.4495782185347	3.43451912750514	2.25843454414471	4.21921046982959	2.69465907215343	4.12141716964486	2.76048931878345	4.03648166499788	2.10115606562648
"02266378f920e88e1dac1ed916c48ff6"	1.9870584136627	3.20952308493334	2.0614971130218	3.2216219516252	1.55568127098108	2.83797593092143	2.14076486037811	3.92656147210738	2.21531947368005	3.78140371513655	1.52997488200336
"022b87e073ba519506a6d0d9dac1bba1"	3.51971937385252	5.63381700177439	3.24526335149943	5.38214391568651	3.38656021238724	5.62994553243721	3.46916975039103	5.4974714252251	4.00543684285676	5.40993562562401	3.33231079024156
"028a375a3a51f2d5d05b85cf4ef10890"	1.8027900744605	2.98694618870335	2.13457558842624	3.40467516050595	1.90502446203054	2.43390419029686	2.77039481738953	3.65714789113642	2.55205675776206	3.17106848956421	2.31674595305549
"02a63d174c8502c109303db99cf1e437"	2.65676797407774	3.76605884522662	3.27635567717754	4.47188597918101	2.72321529503582	3.79882500185427	2.98272686871106	4.33297913239584	3.25463239094031	4.12141716964486	3.70820667430442
"02adf979cb3500c39977fffbf7d2a048"	3.3973489197048	4.08144001846193	3.43574019811517	3.9315337210866	4.11667487155684	4.85660222333445	2.56022350028729	4.16710639718374	2.88275264838923	3.80433771948091	1.8921626453948
"02c19d40dee2d87c409a2e2f7b713d7f"	1.54365979664978	1.90166772820734	1.84102396532875	1.54845806503253	1.85697276265559	1.57677400834968	1.49770832119226	0.712215233549702	1.1132434629301	0.603262446267548	1.04892016578155
"02ccf6f06e50ce9c5e49ffe2278c9f27"	1.97884764860217	5.45477109616755	2.21932375005557	5.46665372019242	1.80491341820058	5.16543713889765	2.78891378871158	5.45332893475352	2.67012007087517	5.36619797702963	1.62591765943108
"02db2ad8ae83f16a31add624ea4ad90e"	2.58313174376579	3.91739622380008	2.72778289131233	3.67187662173155	2.74817960383614	3.89405671383502	3.27863524426965	4.02248974212148	3.28807735725062	3.93784652951649	2.41704385381084
