"sample_040Bb"	"sample_040Bo"	"sample_040Db"	"sample_040Do"	"sample_18_0_14"	"sample_18_0_17"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"00cee8684ccbb62fce87c20103b8aed2"	2.84812969316222	3.19628323472499	2.38557556078559	2.94811559123915	3.09929440064321	2.30090910479347	2.09176516916119	3.85020666332935	1.1252211052926	3.71708353765595	3.50072734659853	3.52898892326627
"011b116b1e264e2cde7ec36aa569ad7c"	2.75340590282301	4.15221873836161	2.62167861939992	4.10212587579043	4.28141040263936	3.24386107756211	2.80685632357778	4.83672136593079	2.90227046445955	5.00152232349245	4.58880524786174	4.88154677157744
"0127000197e26a049598b4a6d0225ba2"	1.7479468962714	0.210098837793401	1.98272412217803	0.417196030983863	0.0954919814592207	2.64566402866611	2.96778811080916	1.22896649358202	0.489999997373214	0.98821899490561	1.63493870281451	1.02774834681357
"013c9c13c8d7029019462bef0627adba"	4.18860763765862	4.15863646548142	4.13596098127204	3.70887535611766	4.4699998160834	3.18407406552119	3.12578883594263	5.06514115599177	1.83692019781439	5.19057811282368	4.66038409272112	4.94587795435297
"015116cb2ae1efade79e1af688f3c15b"	2.90605370640931	3.12427499341683	2.57063317392983	2.92505226536625	2.52623251734291	2.1339534009261	2.39989980782947	3.3807679819852	2.5845745934592	3.18540143711743	2.97316759530457	3.2954839148355
"01524ceb0052552ad3c425bf777b0b3a"	2.80624711935579	3.3868854528544	2.62167861939992	3.09294972426935	2.68857512015687	2.21917087482767	3.16891149964139	4.50146714041196	3.58629463819045	5.04359686991079	4.37293008624475	4.79055032720691
"01525c063123cb2134c64e84ad1e2118"	2.46141623093973	3.69788627069053	2.3484089572809	3.85245769734075	4.52936523632062	3.45825171601195	2.27827272810035	3.96446348954187	2.77607762892059	4.03843219527259	3.52505779407815	4.14583431730998
"0160f5a856b526939ba1062b1cc9df76"	1.43262913232537	3.06451645660036	1.55620589783716	2.92773711846818	3.24516326260958	1.13275603323495	2.24982377421737	4.36406641110914	1.10109453866824	4.05623167253907	4.02521110942549	4.09294010977364
"017a60cbade7b309db182bcabe59d6a4"	4.1451666724416	2.96519885865507	4.03352325688339	2.98044962524543	2.81491527660143	4.36865465020484	3.57144028432891	3.88708108576335	2.30137716374116	3.50698028810043	3.76518713370774	3.8276593492211
"018de0ee05bc68de9383baf688539f9f"	2.6461868226658	4.07563602144234	2.78223811325	3.98151117665997	4.30540477379546	3.15394183860536	2.11440223226983	3.83819354217953	1.80990844240993	4.03440345675513	3.56285195104166	3.7064267950646
"019ee757485f09fa0c7881843036a765"	2.84485124259436	3.12427499341683	2.64921273137772	2.89503309916712	3.67824814144528	3.53854191169557	3.42082901394736	2.84647420535894	2.41767793554588	3.85765095548011	4.00850413576587	3.62106988225176
"019f94720ba42ef1861b87fc58cdd3de"	2.70880325082242	4.01383021556661	2.59710374270481	4.43833135088435	3.19444787725097	2.65157155616702	3.39922290032285	5.0273777667676	2.08459125909438	4.9829339571641	4.87761692794638	5.15672841019881
"01ac16555e036cea2ece2a239591aae6"	1.43128384339541	2.74173594281445	1.86828495357801	3.07656745954945	3.12300240220581	1.8605822847968	2.24869453376611	4.19456016152632	2.09251807203743	3.91008806958688	3.99407733379041	4.00373760729234
"01e013346904f75a91f713c559585ff7"	2.41922080405854	3.18964472892508	2.55777754755682	3.17649010837176	3.3930778405569	2.69874033177643	3.34548733020355	3.14888828743648	1.95772578299574	2.84293674176538	3.22123527916543	3.03864117696428
"01e7154d4b5f3188595e288aeab7f7a0"	3.20242965483628	4.11659846565849	3.24006847369146	4.15878871122171	4.11010774810754	3.26540022378778	2.87897448299086	5.28867902432655	3.57411679865459	5.0321194588886	4.99577654261387	5.20797267728418
"01e9bb0d97f8ed373a8d529ffb971acc"	3.51099304748504	4.58182990858016	3.04404136964778	4.5901712624103	5.00850035005754	4.3143351481609	3.42529274276263	5.05131683715367	3.58037934843047	4.63339979456339	4.50180447937506	4.89779472430815
