"sample_021Ab"	"sample_021Ao"	"sample_029Db"	"sample_029Do"	"sample_088Ab"	"sample_088Ao"	"sample_088Bb"	"sample_088Bo"	"sample_088Cb"	"sample_088Co"
"011b116b1e264e2cde7ec36aa569ad7c"	2.27287126375856	4.6640437026872	3.03285383191856	4.62992678018215	2.38506053148464	4.61364854292991	2.08630543120116	3.96466403121759	2.14713289989905	4.60218292857425
"0127000197e26a049598b4a6d0225ba2"	1.5134608008051	0.163391293036848	1.29721746222992	0.251381789520943	3.57270939708958	0.915289689833416	2.92497841154379	0.832124526285831	2.54067475115946	0.996651776959194
"013c9c13c8d7029019462bef0627adba"	2.22059482086037	3.65199524977425	2.13681625389307	3.1755479027412	2.9474076498178	4.2149313981908	2.91681661726382	4.11078255279063	2.62465165636909	4.92344521089855
"015116cb2ae1efade79e1af688f3c15b"	3.3788897394343	3.6909493104825	3.1769515564005	3.38204650193238	4.34135879493783	3.18793320158783	4.67900282023981	3.5205158305607	4.16714169941648	2.9872473784252
"01525c063123cb2134c64e84ad1e2118"	2.20668854130733	3.64234586695838	3.05356523761156	4.16249218770038	2.51429067947616	4.05800694229185	2.42592068464007	4.50942749266328	2.48278773981633	4.21946829263474
"0160f5a856b526939ba1062b1cc9df76"	2.55635406197929	4.49485162171764	2.6100624397738	3.95633381893569	1.91138056161224	3.42576880218575	1.61122536738821	3.08384445912122	1.66002961054623	3.76678122545621
"017a60cbade7b309db182bcabe59d6a4"	3.38099535461651	1.33046447615922	3.72544616775488	1.72952939269192	4.17520754875954	4.41120696724656	3.21836929660442	4.08151359632087	3.22808211661667	4.59252679409913
"017d459400583fe36857c77a1d541f39"	3.04034610994668	6.54239720266928	4.46648680175993	5.93335883766638	3.5858462282152	5.07773565591595	3.63207203749079	5.45595886067287	3.60639255349965	5.48340326569125
"018de0ee05bc68de9383baf688539f9f"	1.51978887806451	2.78483715301161	2.16853470857372	2.95391812034037	2.74277756042271	3.89299809115043	2.73049382060838	3.20686919140612	2.73538683068147	3.73597417820307
"019ee757485f09fa0c7881843036a765"	2.51095768889264	3.13883125052626	2.38255641350419	3.57015729011454	3.19366631871136	3.12642802454425	3.00033765249798	2.58896181384501	2.5678083435862	3.24315703577133
"01ac16555e036cea2ece2a239591aae6"	1.70304625991641	2.91687385641689	1.8511664449027	2.97861643652395	2.39145640589668	4.23573127090585	2.23661621605183	4.06938293011589	2.28563626972274	4.59868238565136
"01e013346904f75a91f713c559585ff7"	3.03811304412904	4.27186069515261	3.13292292731456	4.06502033276006	2.96233281187041	2.51245046938849	2.84970785629012	2.22398778614692	2.9145962953114	2.16473311421427
"01e7154d4b5f3188595e288aeab7f7a0"	6.84323853894069	4.44421849831325	2.70126322157323	4.81540534128511	2.3491327446107	4.1133504669904	2.35245277167425	4.0568019070084	2.2513928461326	4.80828995275266
"01e9bb0d97f8ed373a8d529ffb971acc"	3.15280183216396	4.50566869489729	3.72805112760325	4.74441199311636	3.61158147622099	4.56425714565663	3.64261821451745	4.30439801075395	3.62187923882541	4.45668433070174
"01ea06c562e6b8f6bbc5be68d99c0373"	4.04433850915927	4.61767270278682	3.98404706488618	4.52260194183038	5.54963499482382	5.42044340215704	5.44300463781337	5.55665569163232	5.25409553663157	5.0409029712402
"01feb696b69822d637cdf0956d28bad4"	6.27900325928417	3.91558186516769	3.99149976836979	5.63044187978807	4.69902621812289	2.74602269966225	4.69393828570306	2.9010665860199	4.51896699142196	2.39781163293702
"02104476719f02b32307edfdb1e6a0c4"	2.94987993973188	4.05511539569976	3.15938650834875	4.57939011733164	3.54746334435798	4.86722871141447	3.22254349075137	4.71585341086258	3.14535500338471	5.11650348086729
"02266378f920e88e1dac1ed916c48ff6"	2.21592858941588	3.90426235060608	2.23806192196339	3.65899638268909	3.52616874152108	3.87733424743514	3.18288961905158	3.53788620103113	2.44724977986089	4.06848951593406
"022b87e073ba519506a6d0d9dac1bba1"	4.63657776362763	5.03730319030116	3.97885477007166	5.56181606422586	4.01651238175426	6.07186028476679	4.27478323639348	5.52056059269114	3.96300999290853	6.4745029780054
"02556710e6071f6303dfb662fc79f6b6"	2.23520520566273	3.21925095449828	3.11373128588573	4.13664769930895	2.4636949301874	4.23623525169929	2.39463906802219	4.57813397932521	2.16127725633982	3.99590228250986
"026f6d9d6a5c591d5465aaeddf6222f1"	1.31025898308118	3.10933623904686	1.82169994597264	3.12205410304926	1.34985856647868	3.72614922695863	1.33162695977758	3.53889865158484	1.38535391904283	3.49863317952676
"027ee5073ec17a7192c3036f2b817f18"	1.63166113713089	1.28017800433056	1.38223111731409	2.15429155987785	2.36234722532628	3.8543481288325	2.36398682454718	3.92384761832081	2.49723039947683	4.12580672990737
"02a63d174c8502c109303db99cf1e437"	3.2130500881697	4.02021243593052	3.62807262819934	4.4652428399345	4.51934668501249	5.61632459800043	4.53609873998567	5.71554818641085	4.42715223538219	5.7983883458874
"02adf979cb3500c39977fffbf7d2a048"	3.23446794073169	4.29300053864824	2.72331674818023	3.94402409891757	2.40923642176885	3.48323363735382	2.10325306243478	3.06743389333525	1.9018297022389	3.65274528106419
"02c00510d4deae8d414f84d4af078919"	1.50118993820021	1.58919320493529	1.2085893406298	1.48203133987206	1.48879228346424	0.66303842712296	1.53862910742317	0	1.21980875120797	0
"02c19d40dee2d87c409a2e2f7b713d7f"	0.82556920806647	2.50213243045307	1.2758710511196	2.15787141096695	1.69736087380441	3.22323749892327	2.08197084030556	3.37486709548279	1.664933166212	3.89803888176102
"02ccf6f06e50ce9c5e49ffe2278c9f27"	1.47464783379941	5.21178987020971	2.4260959866512	5.08066293234522	3.29549013923488	6.46689784647965	3.30448528629993	5.94170113448588	3.44729567201981	6.37102552153038
"02db2ad8ae83f16a31add624ea4ad90e"	1.97400602320937	3.14083903732433	2.98095360501618	3.69326084180161	3.10009859516466	4.46613751762798	3.38613044326929	3.68021653918514	2.99599323949942	3.65800727477015
"02f7b0f943947c68160210ebf8af9e7d"	2.43942276385196	3.85950453977206	2.59747909683797	3.50682746098443	3.60255985185538	4.74856146301128	3.37776573473527	5.00703651550686	3.26554177830427	4.83960263090567
"02fdd4f04802f7d7700d7b017e231832"	1.72678351909904	2.54913105909762	3.06228189607084	3.09430893078917	2.73816548278455	3.90191771856992	2.61223656124981	4.22457894233587	2.43206127435259	3.01154558153777
"03202b02066380ba1d7fadbf07ec658a"	3.70701893444172	2.35359754794989	4.38992610156625	3.79036462029581	5.14136830824282	4.46693793304127	4.82897479875303	5.01868719039899	4.82016220364297	4.29208551563267
"03355cd11fa9d7ee1d42bfd508147739"	2.54465003669087	1.29698219907498	2.42191766009017	1.62052896323336	2.78575845847151	2.35219839704591	2.29354459900798	2.56919080119267	2.48702390216675	2.35005092296931
"0381b98525605c48d762e395044ca5b2"	2.2712995824861	3.9805590114471	2.67168060468772	4.11514249122343	2.86895970283231	4.42256258828834	2.81409048566479	4.55055305799127	2.69086199323128	4.76336245899221
"03ce41b70baf38697859cf6c9998b33f"	2.06035810570357	2.78483715301161	2.23189220587045	3.46468472550641	2.5268333594665	4.3263221364027	2.30310695480952	4.15662192596415	2.22027897816334	4.46523889303548
"03dbe23a9e8b7382924fd20ec95338af"	1.94532722832953	1.97647836368341	1.8571205207917	2.25865312649174	2.16789898973471	2.64655932248299	2.22434953900362	1.93468362362863	2.07459750220739	2.07841533304578
"03e263884fc71d9f491555f67c1f630d"	2.27253611063385	3.17177918587515	2.60207319915946	3.43523739041888	2.14100924806395	3.38376973187289	1.76520328793836	3.23770150451816	1.63482101828644	3.70194324993268
"03f86a1233871340db1328f6fc35aff1"	1.48887802489071	3.46854632486137	2.14166018648396	3.73027856207219	2.44574126843722	4.13810974132235	2.00525395097203	4.11931485983165	2.27494870173584	4.3644493045663
"03f8d34575dc20b78b31c3c1177379b9"	3.43473917974538	5.38632146729101	3.84704406732126	5.40504547662217	3.60781038657994	5.76459681965053	3.25867790745506	5.49670524928389	3.18649477182079	5.66987333674485
