"head_ratio_002C"	"head_ratio_008A"	"head_ratio_012A"	"head_ratio_016B"	"head_ratio_016C"	"head_ratio_020B"	"head_ratio_020C"	"head_ratio_020D"	"head_ratio_021A"	"head_ratio_024B"	"head_ratio_028A"	"head_ratio_029D"	"head_ratio_032A"	"head_ratio_032B"	"head_ratio_040B"	"head_ratio_040D"	"head_ratio_043C"	"head_ratio_056A"	"head_ratio_088A"	"head_ratio_088B"	"head_ratio_088C"	"head_ratio_106B"	"head_ratio_16_1_1"	"head_ratio_16_2_1"	"head_ratio_40_2_1"	"head_ratio_7_2_1"	"head_ratio_8_0_1"	"head_ratio_8_0_2"	"head_ratio_8_0_3"	"head_ratio_CFA"	"head_ratio_CFB"	"head_ratio_CFC"	"ovary_ratio_002C"	"ovary_ratio_008A"	"ovary_ratio_012A"	"ovary_ratio_016B"	"ovary_ratio_016C"	"ovary_ratio_020B"	"ovary_ratio_020C"	"ovary_ratio_020D"	"ovary_ratio_021A"	"ovary_ratio_024B"	"ovary_ratio_028A"	"ovary_ratio_029D"	"ovary_ratio_032A"	"ovary_ratio_032B"	"ovary_ratio_040B"	"ovary_ratio_040D"	"ovary_ratio_043C"	"ovary_ratio_056A"	"ovary_ratio_088A"	"ovary_ratio_088B"	"ovary_ratio_088C"	"ovary_ratio_106B"	"ovary_ratio_16_1_1"	"ovary_ratio_16_2_1"	"ovary_ratio_18_0_3"	"ovary_ratio_40_2_1"	"ovary_ratio_7_1_1"	"ovary_ratio_7_2_1"	"ovary_ratio_8_0_2"	"ovary_ratio_8_0_3"	"ovary_ratio_CFA"	"ovary_ratio_CFB"	"ovary_ratio_CFC"
"028ee642eb064920b3b1a73eace34e08"	2.65592451252392	1.16099461635211	1.21947961079765	1.25767292980688	1.48686162764885	3.45524471904544	2.6419207921092	4.05436926049918	1.05707005447453	1.74853100195542	1.50429528299838	1.01656439354534	2.59977838017938	2.75300537972627	3.04053296575436	3.21391040819775	1.80585460173887	1.3585584682514	4.21731776193168	3.26411993420722	6.58401762608868	1.16103499857001	4.93682097299297	4.21651284241126	3.86002417092569	1.53078877719027	1.12567746675684	1.2209235175102	0.9871938902637	3.33780787530953	2.14862095328844	1.27471791699929	3.18195184628148	1.52776428599631	1.51286279163264	2.42187613946685	2.54205737686206	5.59163042657185	4.28313520310283	6.28351646526929	1.37983387998348	2.001099103512	2.29263089658533	1.3656204050559	3.08141108708144	2.94132215417371	3.22645136590401	3.72863014463146	2.37570320117667	1.76112933359901	6.26180349676198	6.01807786603308	8.32198052316435	1.18200726732696	7.21909420153747	6.15977521069029	2.39974048949004	5.11159133961295	2.55091677257318	1.58781694209096	2.48534488446947	1.64088207596905	4.82559008799799	4.0584872832469	3.17642058198531
"02cb5f2bfea2a37020777fd75fc88635"	1.15324376465073	2.14060887348843	2.21388097622572	2.02697318341472	1.97967803221565	1.06676383660494	0.8048394846079	1.05717451188238	2.51812009615104	2.01510645272306	2.2917070715608	1.98415472973216	1.2165682914099	1.28269820010771	0.803435078331686	0.822844943230429	2.24191651851957	2.05648706679876	1.06858726847968	0.959946335860264	1.64620923137873	1.13696396406517	2.48031713813885	2.45541169458675	3.05173184567507	1.48419403560194	1.88036542653084	2.59102018968748	1.83540415860759	1.1821153512586	1.10619526147589	0.731446681908008	2.17410195911736	3.13294962541984	3.99641474541396	4.30756877175264	3.63019272917919	1.51188230334729	1.06669678179537	1.28030729146919	5.10326274191257	4.12636388436697	4.09131487141544	3.09795242313629	2.07519237297815	1.92338329679117	1.54679291643877	1.40279997497893	3.19854057413791	2.98550305645043	1.48065199023761	1.70254550449708	1.85867573969884	2.14445187275752	3.39202935997887	3.35648209416299	1.5379705167057	4.35773765143193	2.16297385822296	2.29770926205573	5.03126877030482	3.30236256669369	1.56805079779237	1.47838272141081	1.04528884608463
"037c1287b740ca30010808aa48bdfce3"	2.32555812496802	5.07995146417886	4.81852626558036	0.880764948632255	1.156551420655	0.912353654918717	0.763678004607578	1.14440520624307	2.51005496235081	5.53932201829783	0.989355848642126	2.43450686727278	2.25877993774454	2.41340053989844	1.9977160101496	1.906635735473	4.2319430743092	4.10464807095907	2.0854758110338	2.24547816152194	2.71337907314434	3.31527742124324	1.36963596592578	0.954682750652092	9.03931700421846	5.45107913130279	2.63724749559912	128.584662725872	3.57448790837134	0.950352266934263	1.11555111597545	0.692823296391726	3.35887317940608	8.27488980207665	6.1615039899703	1.45762387828519	1.29068717047749	1.63379374303222	1.11729113917696	1.56020447164265	4.13895537992331	9.75042419987838	1.25418417126276	3.65735865828948	2.75759451002534	2.94295070924477	2.61593004050928	2.47356985757677	7.41422108953077	6.1791389271224	2.54858381583969	2.75162544317741	3.01183819201104	3.83514553203822	1.8881413693933	1.86043659544479	2.35820121693645	11.3477765063062	4.82188761190844	5.85483247606735	124.094004926708	5.75299023631522	1.36694567164099	1.57993434673083	1.04034724091392
"040ed2ecb0d3491b52973596fa95cba3"	1.24646676397901	2.52717325996101	3.51313596888995	2.18623296429718	2.47057823380002	1.27796572421172	0.80638493027087	1.28123016933881	1.32727217970604	4.68992509751351	2.89281577867234	1.03080440513476	1.14583352349397	1.15760652732035	1.4224414322398	1.53019661329236	1.38050389800408	1.42125273281259	5.19768107583462	3.37713260582105	3.85681684003985	1.69740896320184	1.72895230287817	1.36013023617973	2.19922113335156	1.9070857902526	1.06655718440739	1.56084358088632	1.25169665981699	1.0820897955617	1.21933837862424	0.915323371201065	1.62848350996152	4.18406815841755	5.32382997450019	2.91804877574328	3.04624752053395	1.78149698720173	1.32962496885552	1.62682804836223	1.57197456170094	7.24490983161555	3.55330153683867	1.34388092289504	1.46932137703203	1.45383017240122	1.79904186931562	1.83929509666578	1.9593531166727	1.80423817951662	5.73484553311267	4.02269585375487	4.8019296974542	2.18458126063988	2.52525964803059	1.73352875453381	1.26882798076003	2.5593573264064	2.09223318181005	2.1481720129359	1.92737067706646	1.63846177138703	0.956800525159694	1.06144940655229	1.0130453853024
"0411ac2d97adabe3fc25319405b1189e"	0.930915954498021	0.803895716682979	0.885396898707005	1.0355438792709	2.31283658020179	0.671515467485325	0.667924100018087	0.680225134053654	0.886051048819211	0.926358349466617	2.11539886446474	0.772123327694043	0.85008492103758	0.815002542248322	0.800720352591455	0.80595567390081	0.81411131698684	0.922032765082482	0.791819258982896	0.867633727234926	0.899622071490741	0.699189318700407	0.995164712726591	0.987859191483914	0.987629575160798	0.797302075079429	2.7062138834167	5.18232023264039	3.3795504266712	1.03661400040701	0.867711786883381	0.682826345886159	1.42141060304784	1.118506101851	0.991820620763331	2.23866151794671	3.11019034607483	1.02883159448137	1.03913326532733	0.880964979980126	1.04265839719092	0.999870006588905	2.96931259482266	0.917423964889719	1.26281154290231	1.07251418976124	0.969033721095081	1.16081289062162	1.13164638624006	1.26225476948715	0.996533013138881	1.11048453716189	0.996123194403119	1.10087877566135	1.43461760571209	1.46841519548635	0.894684947484924	1.20082602759738	1.43097418157806	1.23005636852172	5.67771872203175	3.79188291994668	1.30642930337809	1.06673703243764	0.973088617136513
"0416cad93e1297447e4c699ddd42b0c5"	1.11784134549427	1.01361480617021	1.16358113734905	1.20764481100011	1.28533751608423	0.94551122010221	0.880644524992966	1.01545322782872	2.48636377823155	1.05705098606661	1.25831413322379	2.16976378733501	1.12830546213402	1.11328317826774	1.96134334712519	2.0871774348118	1.12769253051186	1.07377465308441	0.817458318753412	1.01666168378602	1.38892654106183	0.947995482069704	1.06609740394318	1.26711223063109	1.48157753030638	1.72986759374773	0.94722681724088	2.06120205257932	1.37360358862081	1.04750038233792	1.12290572995862	0.644261572845327	1.51311653937779	1.08498261710641	1.13572255946448	1.41663992321392	1.52798824096029	1.42202615457153	1.17961080807398	1.54459288531474	3.46384005679545	1.39302290274534	1.21508624668154	2.92106044297889	1.46659733010704	1.28790903109675	2.09963587850336	1.97481703489278	1.30008824621631	1.17119439855828	1.43546668502331	1.67504331046576	1.47166093817453	0.582822395538491	1.5280334915512	2.21531826175662	2.19667676087791	1.2257577579941	0.618237569533506	0.711321138490427	2.88221768459021	1.41083932815681	1.10840226335968	1.32792012045047	1.03722608976207
"044e2b43b0cbfe1fd830937719e114e5"	3.20416421741288	5.52297355707939	5.50771037939827	5.57593315799067	5.75155908196469	1.2102485885405	1.10798458880989	1.6656592221487	2.32979927739445	6.79492358931238	5.47871573381751	2.28679771120181	3.4836200626329	3.49150487476353	2.43830311241153	2.86183843462679	7.88125374877768	4.24178465327292	1.61096786011554	1.57775563171571	1.70460480172511	1.80180028789973	2.2484003144016	1.83298563968559	35.3485298720489	4.79439376849845	2.69659494866443	7.28717073416157	3.40563532281259	1.7872567291708	1.73301840512963	0.766106853262331	2.80237635322308	5.10506953948818	4.31632308825801	4.50839089434923	4.71341514942331	1.48419388561151	1.257488280325	1.53600759110069	2.43515094706492	5.43934630456177	3.82423210170076	2.53199266064471	3.0340570676478	2.55944098279097	2.5901244641086	2.38293708227385	6.57170447392265	4.0389287105504	1.62548350132658	1.47923481994369	1.51602066578639	1.44136954123816	2.1583948198895	2.39837957534297	2.45135837999476	16.4420148733075	2.39066641159277	3.71340799539647	7.58210655611457	3.0790237123736	1.56416948917487	1.58610718922893	1.04366835685749
"04b43c4dc222ed588f7ce3bc282486fc"	2.34077286734927	2.04198644693929	2.01364503158626	3.09057169973404	3.15886620347572	4.24192849314686	30.9560973152072	4.29229260224098	2.95585593838821	2.09339249466583	3.32278740797879	3.51749586413103	1.94637489276185	2.81399837563399	2.5830968148234	2.7047789381686	4.65732558890232	4.00973354777157	2.41180572713943	2.1429070453384	2.42312562197493	2.04793318498203	3.81438542730743	4.78476418907174	6.09079723295077	2.85729832653514	2.28228839169075	2.31965164909753	2.30185865233465	2.35533395682384	2.90959342435184	1.39400107889846	1.44224433823342	1.44424503996877	1.44510145052988	3.05765378832331	2.89507439899885	3.72804883386501	3.42483016432714	3.9468273407722	1.96457044515275	1.73457762312909	2.8093376821048	2.48934855288047	1.27356462028344	1.75955563236786	1.66014911363716	1.49174604187762	4.56693219078999	4.1890547674995	2.31655238420375	2.19798764472952	2.33295259780794	2.00627435739362	2.18472674706047	1.44022306011244	2.2902957464566	6.69612392340141	2.86027293869591	2.64707295484396	3.10318496291144	2.81158995990019	2.40343989877629	2.91873521719057	2.13519108703423
"05125836f2d61271016ae0802d7bd9a3"	1.25458371194947	3.65290942792339	3.82207245281355	2.54717156014877	2.28918730233912	1.2201234654807	0.924394016746881	1.20834093932736	2.52131587947509	10.8889136663687	2.43232429256548	1.91488125205344	1.23415922457531	1.24370289948558	0.965728305467072	1.01991705671945	2.49642259016477	2.3053509280164	3.02033798367734	2.68723398351496	3.45996184848208	0.978335168601945	1.20900467103441	1.11927326093147	7.79187271466413	4.07383809768833	1.07580686593024	1.45269170567917	1.18079213143332	2.51552166356197	2.63044455186861	1.01364686172931	1.90639667129184	5.44824260728132	5.42087253804583	4.14007697058518	3.37200310803084	1.67687860629639	1.2820266189587	1.3609026006629	3.51901915906602	15.2535869202231	3.30579212033989	2.45783442404502	1.72522905067178	1.58812030411146	1.33302890783154	1.26825979324366	3.60215858248754	3.34542558892999	3.61785962926285	4.14391895058949	4.45985064563884	1.58951425744994	1.54379865327896	1.46594719895072	1.27617463202606	9.37190302385066	1.5983001203155	4.3135924461813	2.10425308302097	1.38335946967635	3.57014005025744	4.53443475743669	2.1416988184615
"063f36c3100d763046ee74ca4f412f86"	1.18471386715178	2.08667227458336	1.98529730715508	2.41652866852306	2.30171119412447	1.95037991463828	1.13378406729052	2.49036450709974	1.23492231358071	2.38370422481724	2.78094505970429	0.824330071834305	0.915801081552916	0.98245034325648	3.78866242815531	3.80102969633811	2.26947477546894	2.26426963458216	1.13615022512045	1.01019777580168	1.24816980691316	0.9196303959944	1.29920943939345	0.880744029607963	13.9132942393432	3.53917977666155	0.907732795770267	2.12375838397052	1.03653459602577	2.04705254947454	2.21279673956303	1.04697707543375	2.58469710434899	3.4871245695497	3.84191141167442	4.83137376317856	4.43926255767292	4.1758047651462	2.15649642149278	4.43378074546152	2.8930796385423	3.85562369489636	5.30022574252658	1.60834158076397	1.72844669540704	2.07612705590481	7.68350738376129	7.27385620159393	4.85290404518567	5.03938558419715	1.61926205344948	1.69029887094003	1.64895345584961	1.60367488171818	2.08359216565691	1.38817430776618	5.40507179799945	18.5993085365962	2.92856370978966	4.94397007516405	3.59573537588281	1.72768692041418	4.4134196435375	3.8835426338601	2.14819670802076
