"sample_020Bb"	"sample_020Bo"	"sample_020Cb"	"sample_020Co"	"sample_020Db"	"sample_020Do"	"sample_8_0_12"	"sample_8_0_15"	"sample_8_0_4"	"sample_8_0_6"	"sample_8_0_9"
"028a375a3a51f2d5d05b85cf4ef10890"	3.97445403235906	4.92500597253699	4.37171793211324	4.92558696361488	3.96751371831647	5.0400540218029	2.77039481738953	3.65714789113642	2.55205675776206	3.17106848956421	2.31674595305549
"02a63d174c8502c109303db99cf1e437"	4.31709454276416	5.14788251779488	4.79577395041772	4.89790878264618	4.25546188993484	5.2206909256826	2.98272686871106	4.33297913239584	3.25463239094031	4.12141716964486	3.70820667430442
"02adf979cb3500c39977fffbf7d2a048"	3.09394504562831	4.14298325519082	3.2149890960607	3.7765941393957	2.59261061155475	3.70641077284415	2.56022350028729	4.16710639718374	2.88275264838923	3.80433771948091	1.8921626453948
"02c00510d4deae8d414f84d4af078919"	1.18312382480985	1.12473749897877	2.00277147832244	1.21408840089829	2.08816973094235	1.50614737385179	2.73120505724617	1.80547024372335	2.82231372105734	2.12570088183291	1.81878855316649
"02c19d40dee2d87c409a2e2f7b713d7f"	1.22395188664125	2.88481322673489	2.09060054773135	3.19055140925791	1.03831577968344	2.81731898950284	1.49770832119226	0.712215233549702	1.1132434629301	0.603262446267548	1.04892016578155
"02ccf6f06e50ce9c5e49ffe2278c9f27"	2.3131566170054	5.80043218113637	4.88335298284598	5.61106792728153	1.68065880670059	5.47503743090164	2.78891378871158	5.45332893475352	2.67012007087517	5.36619797702963	1.62591765943108
"02db2ad8ae83f16a31add624ea4ad90e"	3.91466511198861	4.75169778093757	4.46265483245309	4.79484765493403	3.39098447367196	4.58823076061443	3.27863524426965	4.02248974212148	3.28807735725062	3.93784652951649	2.41704385381084
"02ed78575eba82d038ec26a744d9b6c5"	7.46601503248975	7.84321027130245	7.58228339759602	7.4693519653564	7.08805067449697	7.7503685604148	3.95440058862732	4.33104509940061	4.56241604681644	4.07948019834384	3.55812443555441
"02f7b0f943947c68160210ebf8af9e7d"	3.2659629435914	4.19411864975801	3.79366281906935	4.46653208120849	3.44354631632015	4.5102448317283	2.49139753831836	3.71627728235545	2.95770636633574	3.89107160975016	1.79505137827834
"03202b02066380ba1d7fadbf07ec658a"	3.02940493236903	2.08862028780934	3.20428623246349	3.47121436856385	3.60986297801793	2.968803733139	1.71054362925939	1.7871783251264	2.43374457486098	1.46332391842725	1.10333710910382
"03355cd11fa9d7ee1d42bfd508147739"	3.20523156287477	3.06426422480575	3.29629878702387	2.89278582176373	3.35583274379399	3.40418141095641	2.42237444545787	1.35950363164444	2.78101996663475	0.81505843816658	1.97579578737546
"03734cd02763530410103ffac1802bfc"	4.37816503829865	0.381251647372873	3.22867010394196	0.413517930258873	4.23458470907985	0.865563172165401	0.0300736292207735	0	0.0487138497797326	0	0.904814925526267
"0381b98525605c48d762e395044ca5b2"	2.80904732280919	4.66409027680788	3.44823468194751	4.40475648314741	2.55837259528661	4.28242436350102	2.47965446520454	4.78224559125134	2.51684830201988	5.39607781787786	1.93907256589414
"039c7e0354d3997945bfb6b56867ef87"	2.08065979930258	5.01901049729815	3.7914998490676	4.87971109027557	1.89933053980802	4.8158087062998	2.50047614701169	4.50594167554301	3.04154238271945	4.14612504458098	1.88259662967757
"03dbe23a9e8b7382924fd20ec95338af"	2.86542491661368	3.03399354071072	2.78389124676778	3.13241484196063	2.0755855623498	3.09063232503	2.73528760548187	3.91488945323843	2.79281184934882	3.81981613337936	2.11263837843561
"03e263884fc71d9f491555f67c1f630d"	3.29370437163138	3.99469592490613	3.56514516985497	4.48744428869928	3.28774659823481	4.11400083894028	2.70312877740534	3.55190236044552	2.75048471880785	3.32611026363486	1.19791207515497
"03f86a1233871340db1328f6fc35aff1"	2.01030794600599	4.23481651335095	3.19186764542098	4.12285394670348	2.52755737116754	4.06632793621526	2.6655323249428	4.37900557586769	2.64897654258682	4.4054840456924	1.52682644164513
"03f8d34575dc20b78b31c3c1177379b9"	3.16114704604813	5.01551287267934	4.14414234555692	4.94628096221702	3.20103310609595	5.15085443049302	3.39704075484587	4.76705336143708	3.67685059662013	4.82034859561654	2.78894915747479
"040ffbbb2858152fe7b1bfe2be12eebb"	2.6260592189962	3.74720373806313	2.90953888918988	3.97625665509713	2.34126219688012	3.63508893900142	2.88042152926521	4.28386404060122	3.09851085889657	4.14637404555606	1.66396246069339
"041c4b843dce3deada3d6b1daf849177"	1.18067265181289	3.64098249092172	2.60853508627049	4.07425150875632	1.23797183125075	4.00583162208694	0.509455996151454	3.08884511910802	0.425388491341913	3.13122690262876	0.168660245918363
"042f95fd86a3be60cda5e0a13e76be0c"	6.93698111317461	5.41328679438627	6.46178025265284	5.5292017600872	7.13387767233765	6.09403585554134	5.60356312055005	4.94498090082711	6.07668102923715	4.63381921528841	4.82629493288727
"04356242a8d119e65547c999cf90c0a1"	4.52684028783297	4.39910768848581	4.58342301483601	5.06257390220246	4.24722314887326	4.76992671769185	3.55980215533305	3.57073299078487	3.67285937017169	3.35978537867497	3.05947312359436
"04731e32cb646050ab7f27f284c04106"	3.11199489377029	0.0945045724718856	2.97024092769037	0.146929510386918	3.28861759330161	0.157598477570636	2.87231082789412	3.76046164122099	2.84971441792548	3.68032306162141	1.74805357230317
"0495aca4ee75b03118200f39e55de807"	3.25309234560259	4.8410277071709	3.77511788245571	4.36685517793347	2.92511708682501	4.3298214509574	2.58225051782161	4.48113414095386	2.72502635402033	4.41199554698355	1.70769501850996
"0496149b2d1f183353cbf9189b7049e2"	2.25613646528716	4.19509952860057	3.44806849928989	4.57495837057985	2.24940791995774	4.27568964241792	3.08276868356363	4.00342826184253	3.84772287720606	3.94213109367771	2.12774587356616
"04b93fa3ee523f9634c9c795a5f49e4b"	2.12559060215573	3.5790843423759	2.83626820263248	3.49432275226564	2.53899355507507	3.28355493612252	1.88657208930637	3.39088915900071	2.27948614832231	3.03523253996517	1.0996645059565
"04bd54b9e03f729a1a5670b1416e260b"	1.87746806680186	3.12736234201276	2.72754010291672	2.84137994469727	1.86845534464194	3.11398575959494	2.6127139409578	3.54238300577354	2.46499505655525	3.68320096195146	2.13335285606042
"04c1a513f665c225f7ed173aa4fa12bf"	4.02405471776675	6.04303802611973	4.07889413742701	5.04319374103703	3.22545583236784	5.11301082162425	3.52306805154689	5.28945331667799	5.07229592808631	4.81065779239386	2.08759124247029
"04ca9aedc6db942a0474cdc0a762451a"	1.45039903816072	3.6792747765158	3.53200035553511	4.1590041385322	1.62235729662952	3.63635477029858	0.91425666456116	2.45423573604631	1.16410035884127	2.14815290688094	0.951401472186501
"04d5efa38f3a410566bdc4ede3702fb5"	3.71459612754083	4.31109942928307	3.97234685731196	4.47184019022472	4.10189697085147	4.09232111643575	2.24103133966858	3.38910860596477	1.70769501850996	3.52260359382834	2.27879964880197
"04ef5fcaf6bf35657ee641e7ab693ee9"	4.35828804061308	4.0525174099222	4.1802789872849	4.05001113204365	4.11164419034672	3.90729560887647	3.73636095283034	5.67747414549851	4.05710918365391	6.20985313146359	3.37413144830608
"04f27efead94a16b3e810b74f86514f0"	4.15125084281786	4.43708168823714	4.28634396691078	4.54386621419989	4.34147171114804	4.40889696959847	4.4807777965939	4.89313645805134	5.17770034895566	4.82579023594937	3.50903961530886
"05425468abc7b6696e6644b43e20a070"	3.59678795878271	3.51310052756098	3.49383660369303	3.79258249692223	3.4977191907835	3.26477770768018	3.36601473387109	4.46098068844027	3.97191625397399	3.72428327681523	2.77432970584794
"0575b5bcc7abd6f7a59549c280abbd34"	1.27563837954361	0.284000735383931	1.57619877652522	0.183359791193236	2.36808943875584	0.462685194325917	3.48931295216903	0.200888404404798	3.28770552359325	0	2.40077155946473
"058b63372cbe61fbfecc853d367548c1"	1.63803236634608	3.00829364810934	2.75821668754674	3.94979513142395	1.62865683999897	3.80583966245186	1.04419552483347	1.94525507739986	1.11887755402883	1.9497439335602	0.772172755744953
"059e24b38a4bff0d4f11ed6166a3437c"	0.444775560824474	2.21332056137507	2.11984328790815	2.73771333447065	0.596748608671782	3.11464267349639	0.457112185546232	0.574626084813797	0.91426767651004	0.706465509064177	0.411309200334024
"05c4489613b115ee4ec2ef8199067913"	3.53246830468257	5.19289427115436	4.14261852969288	4.30614784169589	3.47121436856385	4.76392491375949	3.07480367889688	5.49217067635504	2.91085737630168	5.17405429574087	2.58699802763307
"05d75b81fb54d3ff766fc90129feed63"	1.87508600998422	4.17856413463834	3.17126869663572	4.11426234628618	1.99953161685693	3.86492452156038	1.86080656146726	4.22072120388275	2.43374457486098	4.49616258334184	1.77658356213583
"05e856ee9d148f9da62ea0b0ccf6db24"	3.81997674922525	3.81892337256363	3.62405075754621	4.3654324089485	3.4300914970289	4.69847096648298	1.42314653861839	2.14938163553657	1.69904681834586	1.77943015217423	1.36880022222832
"06094dd96a7550292ac7a15406ee3eb7"	2.77531998893279	0.494793798052954	2.00816195049832	1.08264820472888	2.09257689397283	1.0095755893699	0.821811246947283	0	1.07688733488574	0.544563642070819	1.46332391842725
"060f5656d8e6b35f013adc46dccda6cb"	2.76931687558224	3.00908354731241	2.47777528192253	3.26904865176644	1.93693917276359	2.68344379812902	2.69146434644081	3.96238541868026	3.14971368191279	3.58430573995772	1.28431036083497
"062dc7bf1a892776a0d4259124cbb2fd"	4.22643752079623	4.75514749512014	4.93287867577251	4.86068039963778	4.80039260103351	4.88383756793872	3.7630139116312	4.21562334728713	4.36749648142594	4.50333163868983	3.28513626265602
"06308be651a239379c2200605a63c9b6"	3.61648933458233	0	3.1745906071095	0.271703955557686	3.56700448574576	0.454929804374912	4.71201892230379	0.160194655609821	4.57675728148874	0	3.92987303560442
"067925bf2c68cfbf03151580d443463a"	1.58267878745436	1.4705550795825	2.12090552481443	1.73674847118496	1.91689522758336	1.49452337688456	2.23669389470146	2.90642484911648	2.54120601502218	2.86834355533111	1.74727806866982
"06850915424790786904937314f04f24"	2.73460124833428	4.44759314287665	3.2841548217859	3.72429746538333	2.45742136631979	3.40543107359418	2.77799541056612	4.32425523069839	2.78205643230661	4.24687817040533	2.2014720624017
