"sample_16_1_1"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_4"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"017a60cbade7b309db182bcabe59d6a4"	4.95434888112948	5.14754854511918	4.37912141861755	5.3359837666131	3.57144028432891	3.88708108576335	2.30137716374116	3.50698028810043	3.76518713370774	3.8276593492211
"017d459400583fe36857c77a1d541f39"	5.83041976581375	3.48691136184084	5.43989926050183	4.18355401888583	3.87925449437806	5.52522773449225	4.27082028761294	5.33846933825313	5.02528180175133	5.37236661697767
"018de0ee05bc68de9383baf688539f9f"	4.20697669546922	2.7734186277729	4.43594422632915	2.89841421931827	2.11440223226983	3.83819354217953	1.80990844240993	4.03440345675513	3.56285195104166	3.7064267950646
"019f94720ba42ef1861b87fc58cdd3de"	5.81530449917208	3.55603890851393	5.52598094313943	3.93037029973101	3.39922290032285	5.0273777667676	2.08459125909438	4.9829339571641	4.87761692794638	5.15672841019881
"01ac16555e036cea2ece2a239591aae6"	3.04606971626084	1.84999252765283	3.32446225900453	1.49285870188942	2.24869453376611	4.19456016152632	2.09251807203743	3.91008806958688	3.99407733379041	4.00373760729234
"01b2f3b340d5c58058b29719f8ce8d4e"	3.21763179378907	2.44782538128459	3.18415900524358	2.15805522249332	4.82042278144006	4.86044612599831	4.76612223256572	4.82030014607758	4.12761336708907	4.57432409955166
"01e013346904f75a91f713c559585ff7"	2.80973541109082	1.26599842076153	2.06681161892481	0.932094787291107	3.34548733020355	3.14888828743648	1.95772578299574	2.84293674176538	3.22123527916543	3.03864117696428
"01e7154d4b5f3188595e288aeab7f7a0"	5.18861310826286	3.06834638044642	5.23328560378681	3.22008061881242	2.87897448299086	5.28867902432655	3.57411679865459	5.0321194588886	4.99577654261387	5.20797267728418
"01e9bb0d97f8ed373a8d529ffb971acc"	4.79090582483253	3.34137115354463	4.64301766822972	3.19674080285296	3.42529274276263	5.05131683715367	3.58037934843047	4.63339979456339	4.50180447937506	4.89779472430815
"01ea06c562e6b8f6bbc5be68d99c0373"	5.0468400664328	4.81424030549847	5.17228830946525	4.41054790857773	4.4443658328227	4.92168213488537	4.22183628604373	4.83925171492526	4.73735840696131	5.0677300288717
"0202a0b2dfad6a6e5b225afdddaf5729"	0.427237036886744	0.150887647637745	0	0.465141829828828	1.63405944597824	0	0.491578271385409	0	0.595109476425712	0.328160678683509
"02104476719f02b32307edfdb1e6a0c4"	4.92402920224024	2.73381099095554	5.06457882350648	3.13040598847989	3.01783572522462	4.31373579407254	3.30787314272307	4.55316009702292	4.14096630443908	4.57226186264174
"02266378f920e88e1dac1ed916c48ff6"	4.59707139916886	1.92401066775368	4.39915134130375	2.52369858513178	2.44947026505809	4.15304951565973	2.062851291829	3.99523740970894	3.88984021263474	4.10667978853438
"022b87e073ba519506a6d0d9dac1bba1"	6.71442971961789	4.28335712864629	6.97971557052	4.36114185806529	3.90531254053666	6.18438858179696	4.46574755404064	5.91864627524089	5.78837364085251	6.0512635481934
"02556710e6071f6303dfb662fc79f6b6"	4.04402475875075	1.66091550983681	2.98061751899205	1.25761404014045	2.01407814709435	4.00296511362851	3.43612092648045	4.04271170141647	3.7795267796906	4.24717219578093
"025bc839c8c1f60b74081f09ba0e8632"	0.212605015502418	1.15110226674403	0.801507292926005	1.90215379398328	0.960134587968153	0	1.31840088507624	0.229949140666822	0.988830160220261	0.26555915536401
"026f6d9d6a5c591d5465aaeddf6222f1"	4.17037662260648	1.72886901150983	3.85866450628833	1.34618877658338	1.54661397389268	3.67762334109819	2.49084100660952	3.74346460439372	3.30445884891394	3.52997234706667
"028a375a3a51f2d5d05b85cf4ef10890"	3.90966024935685	2.03222007315161	4.10472889534691	2.92480360211415	3.18665870202127	4.54810405024333	3.66796424813156	5.04956309255935	4.49095278589106	5.11605152020223
"02a63d174c8502c109303db99cf1e437"	4.72993946315186	3.44670336515838	4.29634553610779	3.20758075505875	3.49227924076528	4.89518086512965	3.05668888731382	4.94771514624146	4.57039528753887	4.95492315624774
"02adf979cb3500c39977fffbf7d2a048"	3.78811774616292	2.55042643707852	3.8790776576497	2.26544442625633	2.96912909164052	4.36374907466354	2.18567079814631	4.01136995702616	3.91774694375205	3.9664401718914
"02bee791e6098edb3b7b59f89457c830"	1.42755242055002	2.28937765752993	0	1.77508556237762	2.84470703776743	3.71052782795187	2.12535614681804	2.59484566808799	2.73745365147145	3.00455761540862
"02c00510d4deae8d414f84d4af078919"	0.988754266967805	0.878202497224955	0	0.528202959477528	1.68830824083185	0.26555915536401	0.768165595277886	0.687390643447566	0.241960595043212	0.456097384071166
"02c19d40dee2d87c409a2e2f7b713d7f"	1.45423382461391	0.917409326572197	0	1.58241764355261	1.30611847791222	3.66290440455269	1.62147240654306	3.84796957194986	3.29435636319328	3.54413341172182
"02ccf6f06e50ce9c5e49ffe2278c9f27"	6.01101834933212	2.74718860317572	6.08949190929917	3.0211225939092	1.80741625950409	5.31840042510793	3.58207300470868	5.42818737949507	5.20762409241359	5.42363606210899
"02db2ad8ae83f16a31add624ea4ad90e"	5.25624721840803	3.57984915748381	4.60835159991979	3.94537545704264	2.54598481579654	3.58376379736461	2.48958037755388	3.49088987236324	3.19541557260981	3.46411834525863
"02e684d182b54679f214f81d9955e727"	0	0.0754438238188727	0	0.285464913917829	0.180406390700238	1.3621881265763	0	0.229949140666822	0.446412534761481	0.648400829147534
"02ed78575eba82d038ec26a744d9b6c5"	7.75673182073789	7.10162418444655	7.71887052519047	7.00528839713632	6.99035410898968	7.17076777022832	7.02696388647241	7.02221448929058	6.6741177479645	6.90102426041787
