"sample_016Bb"	"sample_016Bo"	"sample_016Cb"	"sample_016Co"	"sample_020Bb"	"sample_020Bo"	"sample_020Cb"	"sample_020Co"	"sample_020Db"	"sample_020Do"	"sample_028Ab"	"sample_028Ao"
"04bd54b9e03f729a1a5670b1416e260b"	1.45310428504292	2.29992385503946	1.54365979664978	1.26222520287967	1.87746806680186	3.12736234201276	2.72754010291672	2.84137994469727	1.86845534464194	3.11398575959494	1.48930098354351	2.15566179924429
"04f27efead94a16b3e810b74f86514f0"	4.96519346399452	5.24271440941666	5.30713085341909	5.32004869642654	4.15125084281786	4.43708168823714	4.28634396691078	4.54386621419989	4.34147171114804	4.40889696959847	5.2903623390525	5.16913193368774
"05425468abc7b6696e6644b43e20a070"	4.6758032569455	3.69031519794033	4.30487086307901	3.43161089943644	3.59678795878271	3.51310052756098	3.49383660369303	3.79258249692223	3.4977191907835	3.26477770768018	3.34376574226421	4.2246611386916
"058b63372cbe61fbfecc853d367548c1"	1.05396144567602	2.98808137996744	1.21658760213423	2.88100609220412	1.63803236634608	3.00829364810934	2.75821668754674	3.94979513142395	1.62865683999897	3.80583966245186	1.19977018568233	2.59664754248111
"059e24b38a4bff0d4f11ed6166a3437c"	0.738179339885384	1.09997868805247	0	0.984917509690329	0.444775560824474	2.21332056137507	2.11984328790815	2.73771333447065	0.596748608671782	3.11464267349639	0	0.835533502323984
"05c4489613b115ee4ec2ef8199067913"	1.50633695474711	3.33727629020441	1.90479021163134	3.702163463408	3.53246830468257	5.19289427115436	4.14261852969288	4.30614784169589	3.47121436856385	4.76392491375949	1.35865451378079	2.9756241686941
"05e856ee9d148f9da62ea0b0ccf6db24"	2.82450921989423	2.4495782185347	2.89666745390293	3.03300614090914	3.81997674922525	3.81892337256363	3.62405075754621	4.3654324089485	3.4300914970289	4.69847096648298	2.30555248592555	2.54145245472513
"06094dd96a7550292ac7a15406ee3eb7"	1.65290440717926	0.495770664437372	1.41006581786914	0.915269010094177	2.77531998893279	0.494793798052954	2.00816195049832	1.08264820472888	2.09257689397283	1.0095755893699	2.00537631861236	0.348247633700645
"062dc7bf1a892776a0d4259124cbb2fd"	3.58050442715688	4.49040974020105	4.58779775537044	4.46651180995953	4.22643752079623	4.75514749512014	4.93287867577251	4.86068039963778	4.80039260103351	4.88383756793872	3.98179730218949	4.24906919159452
"0639cd2e7dadf3ff0a4ebc918d2008b9"	1.59427645699301	3.61301897710042	1.97539618399787	3.91832924064372	2.99956332569339	5.15925785341169	4.13701125424122	5.08423330386031	2.98914643444557	4.91319709165703	2.00186177741882	3.57103863391844
"067925bf2c68cfbf03151580d443463a"	2.25492835343121	3.17469137067358	2.4625518881805	3.47174739822635	1.58267878745436	1.4705550795825	2.12090552481443	1.73674847118496	1.91689522758336	1.49452337688456	2.53404652574631	3.20912628613673
"06850915424790786904937314f04f24"	3.18840981323663	4.83608268075805	2.83712292696179	4.49783272857914	2.73460124833428	4.44759314287665	3.2841548217859	3.72429746538333	2.45742136631979	3.40543107359418	3.1335379558735	4.23856543284276
"0691bcbf69519fb5dba78151aa18c728"	1.73634482335276	3.23964988110872	1.78419834974656	3.01393018073926	2.36228179950344	3.81144942744079	2.80584762441026	2.44737293558876	2.58306958510391	3.3600627431791	1.62189102358586	2.91404503731912
"06bde0cecfbcada397af9c0bf5f83820"	2.64782716772889	3.51854619974135	2.50582539753621	3.63626884361557	2.76226739007414	4.87812880845604	4.67232852241081	5.16384523442398	3.00115633669102	4.90457429612093	2.61543471654572	3.76398337775841
"06da80a2c361f6c3363b72be33e8e8d4"	0.967954857495304	1.68264209057474	1.29359364869219	1.92164116814894	3.0469025220633	3.21360082670081	2.84841109397278	3.56105248523441	2.99512579429032	2.98601539520877	1.4291234600578	1.78971354441713
"06f154fee6b1d89c4fb222e23f2b939c"	1.23312686447627	2.72409643557544	1.63988389383134	3.41657201724266	3.20103310609595	5.78067167370558	4.01164308426037	4.42867999369088	3.81187236145638	6.09843154867604	1.08867137443727	2.50442181747097
"0723628f526fba7f82f84bebd97bad25"	0.165636464930348	2.84041604807555	0.282552187060332	2.46213491404852	1.56380101150051	5.17540344286949	3.85514691408439	5.29154146186843	1.83502902602256	4.74392696248368	0.106690630662525	2.78984294579805
"073587e420e91ec5e53de8257bfaba94"	2.79398425910319	3.12367991853441	3.78312281506934	3.78874250385887	2.90157495053075	4.59011040563452	4.13753738791586	4.99381958772011	2.45933847105994	4.59460615125225	2.80766606781548	3.2759310911664
"077896f52217cf2755311d9ba92258b3"	4.45624173323222	3.36344508053071	4.22630700802633	3.56851242970731	3.744199758367	2.36621909725522	3.22304506785768	3.50067750648592	3.33196587864287	2.67855668858296	3.94370004805052	3.1563288339838
"077bf3cbcf7f29f2b58fa95b52ec5fc7"	5.66152398359087	5.73501986081466	6.20766881116395	6.8443102088757	7.3546940297218	7.78300377041702	7.56231583139441	7.95818042242834	7.4832107394663	8.52183505169387	5.59197955491005	5.74601740331472
