"sample_020Bb"	"sample_020Bo"	"sample_020Cb"	"sample_020Co"	"sample_020Db"	"sample_020Do"	"sample_040Bb"	"sample_040Bo"	"sample_040Db"	"sample_040Do"	"sample_18_0_14"	"sample_18_0_17"
"00a811735beb8aad554772043d92e96f"	1.84772005484702	0.504504084875968	2.38346990753451	0.803036027830471	2.75414951007064	1.35188819939135	0.774266231844737	0.541219029085784	0.982078472412158	0.869660233945842	0	1.46787434811231
"00b08f570ae6322b03af00df9230f86d"	1.86769652948454	0	2.47911759214871	0.639864540314357	2.59429125791423	0.313417068401069	1.1800386540303	0.325050108920519	0.812040710500356	1.07175483449823	0.417196030983863	1.75663302975248
"00bcc118d77be26d37aa6816c6eec493"	2.39082305075915	0.175672836288781	2.1831220469101	0.569957555604261	2.10240045716355	0.359147484688998	2.86408481948799	0	2.63494172928157	0.223543471335537	0	2.92505226536625
"00c4a692e67b1c93a289ffcae447cfcf"	2.1369870750238	4.38077234838561	3.76032736286256	4.44590553205753	2.33042591549876	4.60853280603898	2.12800548978815	4.1933886713187	1.85537569017753	3.81562883832181	3.87835246155087	2.59710374270481
"00c6a28930e3eafc29b6cf8827820e4c"	2.31946813617108	2.48033127625347	2.37021487207159	2.34592822832419	2.87571763484655	2.86325230710352	4.40542495439816	3.99141496628142	4.24055806345313	3.29125240100391	3.7909536700183	4.32215111304276
"00cee8684ccbb62fce87c20103b8aed2"	3.06512343904469	4.74001879070773	3.7434222780568	4.36563578563762	2.71466322014521	3.95195031503719	2.84812969316222	3.19628323472499	2.38557556078559	2.94811559123915	3.09929440064321	2.30090910479347
"00ebf8e1ef000771b72c70f2036cc4f0"	2.67895464880233	0	1.52910486863033	0.167817143505454	2.41327782552989	0.134562360993951	3.93769854941728	0.360607202466337	2.84775996820322	0	0	4.48196020104521
"0112c347c6def14a99ba74cd77bfc94d"	1.76630695131609	3.01929585878887	2.48045810299321	3.58442841364703	1.74975413594969	3.56015193297139	1.08312633113266	2.79814072154914	1.28699875002431	2.80321491578154	3.36865008498288	2.05800082344499
"011b116b1e264e2cde7ec36aa569ad7c"	1.80500936612918	4.44529783899845	3.28352739514361	4.1336171362169	1.73954433163965	3.85106138544421	2.75340590282301	4.15221873836161	2.62167861939992	4.10212587579043	4.28141040263936	3.24386107756211
"0127000197e26a049598b4a6d0225ba2"	1.85116121139404	0.21430180337389	1.98748007396407	0.293371634839806	2.35495397839321	0.335288420978619	1.7479468962714	0.210098837793401	1.98272412217803	0.417196030983863	0.0954919814592207	2.64566402866611
"013c9c13c8d7029019462bef0627adba"	3.31660634600919	5.53780370012466	3.75958206316628	4.21444579766469	2.66133085131587	4.09685447641721	4.18860763765862	4.15863646548142	4.13596098127204	3.70887535611766	4.4699998160834	3.18407406552119
"015116cb2ae1efade79e1af688f3c15b"	1.47202833866916	1.51777402180592	1.93370887684901	2.2507959424273	2.06814475124343	1.91227619375501	2.90605370640931	3.12427499341683	2.57063317392983	2.92505226536625	2.52623251734291	2.1339534009261
