"sample_088Ab"	"sample_088Ao"	"sample_088Bb"	"sample_088Bo"	"sample_088Cb"	"sample_088Co"	"sample_16_1_1"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_4"
"019f94720ba42ef1861b87fc58cdd3de"	3.96895177067865	5.06208452299206	3.85656018854496	4.67835540396367	3.88952337649042	5.58288055533468	5.81530449917208	3.55603890851393	5.52598094313943	3.93037029973101
"01ac16555e036cea2ece2a239591aae6"	2.39145640589668	4.23573127090585	2.23661621605183	4.06938293011589	2.28563626972274	4.59868238565136	3.04606971626084	1.84999252765283	3.32446225900453	1.49285870188942
"01b2f3b340d5c58058b29719f8ce8d4e"	5.82984744613471	6.00776211729343	5.61835050429248	5.68347622456335	5.46882086437005	6.2507977996193	3.21763179378907	2.44782538128459	3.18415900524358	2.15805522249332
"01e013346904f75a91f713c559585ff7"	2.96233281187041	2.51245046938849	2.84970785629012	2.22398778614692	2.9145962953114	2.16473311421427	2.80973541109082	1.26599842076153	2.06681161892481	0.932094787291107
"01e7154d4b5f3188595e288aeab7f7a0"	2.3491327446107	4.1133504669904	2.35245277167425	4.0568019070084	2.2513928461326	4.80828995275266	5.18861310826286	3.06834638044642	5.23328560378681	3.22008061881242
"01e9bb0d97f8ed373a8d529ffb971acc"	3.61158147622099	4.56425714565663	3.64261821451745	4.30439801075395	3.62187923882541	4.45668433070174	4.79090582483253	3.34137115354463	4.64301766822972	3.19674080285296
"01ea06c562e6b8f6bbc5be68d99c0373"	5.54963499482382	5.42044340215704	5.44300463781337	5.55665569163232	5.25409553663157	5.0409029712402	5.0468400664328	4.81424030549847	5.17228830946525	4.41054790857773
"0202a0b2dfad6a6e5b225afdddaf5729"	0.785508371812018	0.273040365605805	0.979346204589569	0.414667694373663	0.911164008519446	0	0.427237036886744	0.150887647637745	0	0.465141829828828
"02104476719f02b32307edfdb1e6a0c4"	3.54746334435798	4.86722871141447	3.22254349075137	4.71585341086258	3.14535500338471	5.11650348086729	4.92402920224024	2.73381099095554	5.06457882350648	3.13040598847989
"02266378f920e88e1dac1ed916c48ff6"	3.52616874152108	3.87733424743514	3.18288961905158	3.53788620103113	2.44724977986089	4.06848951593406	4.59707139916886	1.92401066775368	4.39915134130375	2.52369858513178
"022b87e073ba519506a6d0d9dac1bba1"	4.01651238175426	6.07186028476679	4.27478323639348	5.52056059269114	3.96300999290853	6.4745029780054	6.71442971961789	4.28335712864629	6.97971557052	4.36114185806529
"02556710e6071f6303dfb662fc79f6b6"	2.4636949301874	4.23623525169929	2.39463906802219	4.57813397932521	2.16127725633982	3.99590228250986	4.04402475875075	1.66091550983681	2.98061751899205	1.25761404014045
"025bc839c8c1f60b74081f09ba0e8632"	1.53862910742317	0.635740500610399	1.36331740095587	0.218235526641623	1.4527747456198	0	0.212605015502418	1.15110226674403	0.801507292926005	1.90215379398328
"026f6d9d6a5c591d5465aaeddf6222f1"	1.34985856647868	3.72614922695863	1.33162695977758	3.53889865158484	1.38535391904283	3.49863317952676	4.17037662260648	1.72886901150983	3.85866450628833	1.34618877658338
"028a375a3a51f2d5d05b85cf4ef10890"	2.51288005355444	3.46977585618743	2.50152283321081	3.34889796727049	2.38345515062689	3.87408268821802	3.90966024935685	2.03222007315161	4.10472889534691	2.92480360211415
"028ec5226565db55cfd9c4b1b082ed6b"	1.56810745533532	0	1.00868758114012	0	0.559078500765375	0	0	0.44636901927316	0	0
"02a63d174c8502c109303db99cf1e437"	4.51934668501249	5.61632459800043	4.53609873998567	5.71554818641085	4.42715223538219	5.7983883458874	4.72993946315186	3.44670336515838	4.29634553610779	3.20758075505875
"02adf979cb3500c39977fffbf7d2a048"	2.40923642176885	3.48323363735382	2.10325306243478	3.06743389333525	1.9018297022389	3.65274528106419	3.78811774616292	2.55042643707852	3.8790776576497	2.26544442625633
"02b23bbf9346b7ca3fb7e60b7c7c46cd"	1.42383578043283	0.259390616787194	1.90675046261129	0.689610935408691	1.9887014033102	1.56810745533532	0.908500466399092	0.48356870615403	0	0.914451441416034
"02c00510d4deae8d414f84d4af078919"	1.48879228346424	0.66303842712296	1.53862910742317	0	1.21980875120797	0	0.988754266967805	0.878202497224955	0	0.528202959477528
"02c19d40dee2d87c409a2e2f7b713d7f"	1.69736087380441	3.22323749892327	2.08197084030556	3.37486709548279	1.664933166212	3.89803888176102	1.45423382461391	0.917409326572197	0	1.58241764355261
"02ccf6f06e50ce9c5e49ffe2278c9f27"	3.29549013923488	6.46689784647965	3.30448528629993	5.94170113448588	3.44729567201981	6.37102552153038	6.01101834933212	2.74718860317572	6.08949190929917	3.0211225939092
"02db2ad8ae83f16a31add624ea4ad90e"	3.10009859516466	4.46613751762798	3.38613044326929	3.68021653918514	2.99599323949942	3.65800727477015	5.25624721840803	3.57984915748381	4.60835159991979	3.94537545704264
"02e684d182b54679f214f81d9955e727"	0.361513220578982	0	0.486811580895103	0.324428573418785	0.397271633079637	0	0	0.0754438238188727	0	0.285464913917829
"02ed78575eba82d038ec26a744d9b6c5"	7.8310396820265	8.12337391657838	7.85064957689931	8.37412525646484	7.91685650905811	7.26748454771834	7.75673182073789	7.10162418444655	7.71887052519047	7.00528839713632
"02f7b0f943947c68160210ebf8af9e7d"	3.60255985185538	4.74856146301128	3.37776573473527	5.00703651550686	3.26554177830427	4.83960263090567	4.2093167308395	2.70870545684233	4.39818136583241	2.94015186299597
"02fd2fc743a4623995fcdfc706ba981b"	0.486811580895103	0.706941598582092	0.272741008582481	0.757201209350051	0.385493666563661	0	1.48282652127474	0.111942010031374	0	1.12740898828547
"02fdd4f04802f7d7700d7b017e231832"	2.73816548278455	3.90191771856992	2.61223656124981	4.22457894233587	2.43206127435259	3.01154558153777	3.4616811308114	2.02274657925322	2.01290475867956	2.28787624634145
"032a5e85e8531d19bb559affe7d45f99"	1.85360373912816	0	1.78585876090709	0	2.36070493340421	0	1.04237486235363	2.23702097944966	0	2.30278987202539
"03355cd11fa9d7ee1d42bfd508147739"	2.78575845847151	2.35219839704591	2.29354459900798	2.56919080119267	2.48702390216675	2.35005092296931	1.79929777631917	2.10060489388527	1.46862512084882	1.97369495136238
"034f5e1b4e4a4747a0048a61ae79aa98"	1.06742393297567	1.8753447098135	0.928164619938677	1.18407441152516	0.915764054582556	1.44648608909089	1.07808799529436	0.454638240510793	0.597499065679988	0.498029700374797
