"sample_002Cb"	"sample_002Co"	"sample_020Bb"	"sample_020Bo"	"sample_020Cb"	"sample_020Co"	"sample_020Db"	"sample_020Do"	"sample_032Ab"	"sample_032Ao"	"sample_032Bb"	"sample_032Bo"
"00c6a28930e3eafc29b6cf8827820e4c"	2.43759881037155	1.35225309917164	2.31946813617108	2.48033127625347	2.37021487207159	2.34592822832419	2.87571763484655	2.86325230710352	2.78966344794583	1.85466816308165	2.34182951349234	2.15550655621886
"00cee8684ccbb62fce87c20103b8aed2"	2.17039715940748	3.37594238160161	3.06512343904469	4.74001879070773	3.7434222780568	4.36563578563762	2.71466322014521	3.95195031503719	1.91403144028486	3.328022067513	2.74468423529791	4.51441681389469
"00d413ed2e7ee7dd251ede7c7ed3ff78"	2.74681991513478	3.31320082863685	3.93988327860692	5.24402534890184	4.21775198833632	5.0937041138552	3.40967177236618	4.64993213349008	3.01366054730734	3.32357408928607	2.59291121685909	3.63237746007748
"0112c347c6def14a99ba74cd77bfc94d"	1.68916586288447	3.58957252292889	1.76630695131609	3.01929585878887	2.48045810299321	3.58442841364703	1.74975413594969	3.56015193297139	2.45962174724523	3.91946385352807	2.05727964599738	3.00451548794807
"011b116b1e264e2cde7ec36aa569ad7c"	1.8391540568588	4.67888502873372	1.80500936612918	4.44529783899845	3.28352739514361	4.1336171362169	1.73954433163965	3.85106138544421	1.78409584520015	4.67747521953862	1.96247406399063	3.8676306656372
"0127000197e26a049598b4a6d0225ba2"	2.77201048559386	0.587411892813796	1.85116121139404	0.21430180337389	1.98748007396407	0.293371634839806	2.35495397839321	0.335288420978619	1.88456255143347	0.466830655831397	2.85616258411242	3.14793187463121
"013c9c13c8d7029019462bef0627adba"	2.19956361742562	3.70127096128592	3.31660634600919	5.53780370012466	3.75958206316628	4.21444579766469	2.66133085131587	4.09685447641721	1.90145626959912	3.75236984803303	2.48801888508895	3.71777745555044
"015116cb2ae1efade79e1af688f3c15b"	2.39809580623023	2.16735231805561	1.47202833866916	1.51777402180592	1.93370887684901	2.2507959424273	2.06814475124343	1.91227619375501	1.90309334734567	2.31703537034688	2.58108325276275	3.04331294945463
"01525c063123cb2134c64e84ad1e2118"	3.28584178489062	4.3241097553305	1.64732080803148	3.54502086191586	2.57741290225959	3.9140264372178	1.46898801347107	3.81399288995021	3.52767762744353	4.25575986211136	3.09774742471471	4.14971783549819
"0160f5a856b526939ba1062b1cc9df76"	2.08069275858139	3.81852942061555	1.87753708544777	4.353359377388	2.99155998163668	3.10320976683262	2.35045788412452	3.33158803447882	1.5842698368291	3.76063812059459	1.85509726978911	3.57031264576296
"017a60cbade7b309db182bcabe59d6a4"	5.1943119711887	2.7293778088153	4.50192179378187	2.23238577976311	4.68111882593014	3.22103397438732	4.32475010797653	2.7572014429324	4.07498304862097	2.25938099267795	6.2352389728231	4.11731184989667
"017d459400583fe36857c77a1d541f39"	3.34697267206532	5.74117177461617	3.97204546951341	5.15575731511443	4.9466222597552	5.78441893832944	4.00378960507092	5.42674834665433	3.9218027672798	6.12162901110934	3.65398472836964	4.81942912980421
"018de0ee05bc68de9383baf688539f9f"	2.13593918865032	4.21153992893862	2.65909242288633	4.84317444792897	4.08373157652837	4.24381522210586	2.71360275709186	4.59455888474211	2.12994927759711	4.39288917310156	2.07224218841559	3.4532019297155
"01ac16555e036cea2ece2a239591aae6"	1.29998933973588	3.33045108475748	2.00598099359427	4.22894782716517	3.47625251018198	4.32480560872473	2.22876081123402	3.92511228437832	1.51598048903603	3.57925442134455	1.5580765968263	2.33369063990969
"01e013346904f75a91f713c559585ff7"	2.39415565276387	3.20171131388111	3.27511853068661	3.28535351460243	2.73874854799081	3.58708977763676	2.49903898294276	3.33785949059088	1.92138997159715	3.28521120568606	1.72882410678903	3.03979848789761
"01e7154d4b5f3188595e288aeab7f7a0"	3.30085761131274	5.03129264098288	2.29073718287561	3.98313676224695	3.15160683806642	4.21112863982674	2.215068861314	3.84184514640642	2.72165016755624	5.2290410531095	2.75649903718457	4.22813743524098
"01e9bb0d97f8ed373a8d529ffb971acc"	3.06212184606341	4.62617651011911	4.07452361875818	5.21496695277458	4.97510436052616	5.12034785385702	4.14032844325343	5.177663027643	3.39727683970458	5.06195977433086	3.3967127741586	4.17049251054216
"01ea06c562e6b8f6bbc5be68d99c0373"	5.33849865666105	5.83696712383883	4.69525857411968	5.34166394123236	4.57429835730449	5.01837547479496	4.80813036041019	4.83201175519772	6.00281142461299	6.06799185067505	5.43096949836104	6.25792430971604
"01feb696b69822d637cdf0956d28bad4"	2.9469317118305	0.0808931152052973	4.68850822117782	1.56714567096362	4.05972268220673	1.68956135531	3.39206177882796	1.2699403039872	2.80659592875046	0	2.15954636280891	0.27775975870613
