"sample_002Cb"	"sample_002Co"	"sample_032Ab"	"sample_032Ao"	"sample_032Bb"	"sample_032Bo"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"02fd2fc743a4623995fcdfc706ba981b"	0.690247480490327	0.755660370848932	0	0.902612408684743	0.463598786963289	1.58771997610404	0.548112159912006	2.93431251069669	0.556864578254977	1.63044765401185	2.01610549727724	2.60050656342596
"02fdd4f04802f7d7700d7b017e231832"	2.0785868014935	3.09393599031235	2.85430239845208	3.34221739211303	2.18070736049717	3.07465781897255	2.46402820400658	2.75211301847845	2.46790290197181	3.05525699658582	2.74138387601084	2.69007792968224
"03202b02066380ba1d7fadbf07ec658a"	4.14037407803617	4.68776795900802	4.64804656481508	4.7249257637923	3.98453864334749	4.75089609978191	4.81612156997053	4.00739878308088	5.32634330523391	3.28642770128694	3.49873755802336	3.42973663521431
"03301869149c66370d4f5cfd7c5c79f7"	1.01251104283798	3.05975375479947	0.763544132531055	3.22877027297184	0.831833327082896	2.48801888508895	1.54336990222422	3.18540143711743	1.2895036859229	2.8769045924455	2.90227046445955	2.80501767350485
"03355cd11fa9d7ee1d42bfd508147739"	2.56229974347299	1.94510515600366	2.37790169151809	1.80938176573944	2.3012734733041	2.51369128713066	1.8887845046757	1.24786690744402	1.80868413802593	1.5949329430021	1.65137375223432	1.54213068138448
"03734cd02763530410103ffac1802bfc"	4.25528177563292	0.0331465333877602	3.49190273307507	0	2.54515057169644	0.431283590733985	5.41656735094466	0.768165595277886	3.49135320967974	0	2.72755997506352	0.446412534761481
"0381b98525605c48d762e395044ca5b2"	2.23001507476128	4.40425414311174	2.49736909270935	4.77699829833228	2.53158962626022	3.95975456761856	2.38471349087024	4.69093190345555	2.93941289592756	4.76460508355477	4.19057537990868	4.59184803915902
"039544c0752df4a57b038dd86e16eba6"	1.47865724737294	2.79944460303343	2.23624185099367	3.62521969341995	0.962294541570412	2.30914731444362	1.83692019781439	2.76080658465263	1.99770965815172	2.44310570402908	2.81326510615933	2.97937034426186
"039c7e0354d3997945bfb6b56867ef87"	1.92064909508862	3.89737469943057	2.58427376491043	4.27468845307051	2.07141023261498	3.94471732612635	1.40786601100782	3.33254045373985	1.41896675769385	2.84382228150985	3.0247037188692	3.16506720126978
"03ce41b70baf38697859cf6c9998b33f"	2.67862516658003	4.58267191731313	2.33067689739014	4.54437690932523	2.36924557991893	3.83066708253149	2.18183295390923	4.18825594598542	2.32841578942857	4.45802517571834	4.26890631165795	4.58617377121524
"03dbe23a9e8b7382924fd20ec95338af"	1.68944426900776	2.12932350389628	1.44052948085132	2.38804034887366	1.58692341684143	2.56666722999519	3.34869802694281	4.32095760787418	3.18916849959766	4.13274878829435	4.01126218387143	4.1857145046282
"03e263884fc71d9f491555f67c1f630d"	2.4710775503953	3.22877027297184	2.9016891956369	3.61256898131233	2.93804547896905	3.27187635110577	2.87003026543823	4.33520270619549	2.55429588715606	4.33121048959039	4.06749053211758	4.43989055514105
"03f86a1233871340db1328f6fc35aff1"	2.17306416199266	3.89096168470966	2.84552907549178	4.15739420991247	2.30747183340492	3.18232473868768	2.05581256323007	3.71387075380019	2.39297701615981	3.60590102475664	3.54149344224035	3.83195225736148
"03f8d34575dc20b78b31c3c1177379b9"	4.44287577246119	6.76275051711579	4.5656379323111	6.68718695641813	4.23888932402214	5.31126006727852	3.62998131606633	5.33268188437168	3.74310453660768	5.12594786733843	4.87854298739545	5.13565776833335
"040ffbbb2858152fe7b1bfe2be12eebb"	1.69196067838758	3.81122211961036	1.48043767104805	3.78600115353904	1.66179473939598	2.81130290016592	3.30780379069418	4.16017574750925	3.01951950079696	3.93814429453501	3.33741519665251	3.89701056046747
"041c4b843dce3deada3d6b1daf849177"	1.62166809476111	3.91710748384072	1.95837855429927	4.2413817071851	1.81947205278596	3.47575538390669	0.823066055894185	3.22849152548149	2.07509008782214	3.40882739890616	3.59007893013907	3.60961197920315
"04270753eac3e84e5b3f45e5131fd1e7"	3.63992686550437	3.73763349858344	3.57975405461114	3.89027306093996	3.1962105368659	3.59003767304052	2.77037828101363	2.80133020027161	2.29679878455363	2.27827272810035	2.39158668818491	2.72954655662928
"042f95fd86a3be60cda5e0a13e76be0c"	5.52834130958754	4.91037318905662	5.96052766112007	4.8054588712209	6.19264827276582	5.13796902667406	6.77638104601482	5.77420614428535	7.90390148721853	5.60526692313243	6.66721661617845	5.51542269241611
"04356242a8d119e65547c999cf90c0a1"	4.17693213133175	4.83641584405829	4.54645279284608	4.38480785813428	5.63151841069114	5.25836127015768	8.84474141752591	9.03238650133904	8.52937760148863	8.6841784920523	8.44455260022459	8.62830749392922
